Logan V48.29
rawFileName=C:\MinimaxData\rover39787 1902151417.raw
From=0.0, To=7:57.5
Time,Dist,AvVel,AvStkRate,#Strokes
12.764,50.00,3.92,45.11,8
10.765,100.00,4.64,42.38,8
10.745,150.00,4.65,40.96,7
10.995,200.00,4.55,39.00,7
11.222,250.00,4.46,38.25,8
11.178,300.00,4.47,37.11,7
11.219,350.00,4.46,36.45,6
11.402,400.00,4.39,35.43,7
11.591,450.00,4.31,34.45,7
11.496,500.00,4.35,34.60,6
11.576,550.00,4.32,35.23,7
11.517,600.00,4.34,35.16,7
11.584,650.00,4.32,34.95,7
11.621,700.00,4.30,34.72,6
11.910,750.00,4.20,34.62,7
12.027,800.00,4.16,34.22,7
11.929,850.00,4.19,34.06,7
11.784,900.00,4.24,33.11,6
12.023,950.00,4.16,32.91,7
11.831,1000.00,4.23,33.06,7
12.016,1050.00,4.16,32.47,6
11.838,1100.00,4.22,32.97,6
12.056,1150.00,4.15,33.15,7
12.055,1200.00,4.15,32.91,7
12.061,1250.00,4.15,32.15,6
12.173,1300.00,4.11,32.00,7
12.406,1350.00,4.03,30.33,6
12.262,1400.00,4.08,30.96,6
12.355,1450.00,4.05,30.24,6
12.691,1500.00,3.94,29.78,7
12.511,1550.00,4.00,30.27,6
12.458,1600.00,4.01,29.76,6
12.557,1650.00,3.98,30.05,7
12.496,1700.00,4.00,29.85,6
12.437,1750.00,4.02,30.09,6
12.389,1800.00,4.04,30.24,6
12.404,1850.00,4.03,29.73,6
12.429,1900.00,4.02,28.99,6
12.387,1950.00,4.04,28.68,6
12.392,2000.00,4.03,28.68,6
