Logan V48.29
rawFileName=C:\MinimaxData\rover23808 1902161629.raw
From=0.0, To=7:07.8
Time,Dist,AvVel,AvStkRate,#Strokes
12.388,50.00,4.04,48.00,9
9.813,100.00,5.10,45.45,7
9.764,150.00,5.12,43.27,7
9.903,200.00,5.05,42.45,7
10.010,250.00,5.00,41.00,7
10.104,300.00,4.95,39.30,7
10.297,350.00,4.86,38.76,6
10.433,400.00,4.79,38.46,7
10.329,450.00,4.84,37.97,6
10.608,500.00,4.71,37.97,7
10.670,550.00,4.69,37.19,7
10.569,600.00,4.73,36.86,6
10.716,650.00,4.67,36.47,7
10.607,700.00,4.71,36.23,6
10.700,750.00,4.67,36.51,7
10.761,800.00,4.65,36.23,6
10.908,850.00,4.58,36.18,7
10.779,900.00,4.64,36.19,6
10.901,950.00,4.59,36.22,7
10.853,1000.00,4.61,36.10,6
10.964,1050.00,4.56,36.00,7
10.750,1100.00,4.65,35.71,6
10.930,1150.00,4.57,36.00,7
10.768,1200.00,4.64,35.67,6
10.933,1250.00,4.57,35.68,7
10.739,1300.00,4.66,35.97,6
10.941,1350.00,4.57,35.86,7
10.935,1400.00,4.57,35.80,6
10.886,1450.00,4.59,35.89,7
10.700,1500.00,4.67,36.32,6
11.038,1550.00,4.53,36.18,7
10.870,1600.00,4.60,36.06,6
11.110,1650.00,4.50,36.22,7
10.875,1700.00,4.60,36.51,7
10.864,1750.00,4.60,37.23,7
10.820,1800.00,4.62,37.88,6
10.764,1850.00,4.64,38.63,7
10.668,1900.00,4.69,38.92,7
10.547,1950.00,4.74,39.74,7
10.565,2000.00,4.73,39.65,7
