Logan V48.39
rawFileName=C:\MinimaxData\rowing\2018-19 rowing season\2019.02.15-17 nsw state champs\rover56665 1902160937.raw
From=0.0, To=7:40.2
Time,Dist,AvVel,AvStkRate,#Strokes
12.720,50.00,3.93,41.50,8
10.216,100.00,4.89,40.27,7
10.133,150.00,4.93,39.89,6
10.673,200.00,4.68,35.57,7
10.931,250.00,4.57,34.76,6
11.033,300.00,4.53,34.36,6
11.262,350.00,4.44,34.55,7
11.028,400.00,4.53,34.72,6
10.775,450.00,4.64,34.68,6
10.899,500.00,4.59,33.68,7
11.238,550.00,4.45,34.29,6
11.130,600.00,4.49,34.52,6
11.196,650.00,4.47,34.42,7
11.028,700.00,4.53,34.44,6
11.058,750.00,4.52,33.94,6
11.342,800.00,4.41,34.03,7
11.170,850.00,4.48,33.56,6
11.300,900.00,4.42,33.41,6
11.709,950.00,4.27,33.80,7
11.450,1000.00,4.37,33.63,6
11.912,1050.00,4.20,33.83,7
12.085,1100.00,4.14,34.12,7
11.701,1150.00,4.27,33.52,7
11.832,1200.00,4.23,33.04,6
11.862,1250.00,4.22,33.46,7
11.694,1300.00,4.28,33.30,6
11.712,1350.00,4.27,33.58,7
11.724,1400.00,4.26,33.33,6
11.927,1450.00,4.19,33.49,7
11.588,1500.00,4.31,33.48,6
11.689,1550.00,4.28,33.80,7
11.768,1600.00,4.25,34.16,7
11.973,1650.00,4.18,33.78,6
12.451,1700.00,4.02,33.12,7
12.356,1750.00,4.05,33.68,7
11.775,1800.00,4.25,33.15,7
11.756,1850.00,4.25,33.78,6
12.079,1900.00,4.14,34.03,7
11.943,1950.00,4.19,33.99,7
12.039,2000.00,4.15,34.09,7
