Logan V48.39
rawFileName=C:\MinimaxData\rowing\2018-19 rowing season\2019.02.15-17 nsw state champs\rover23779 1902161542.raw
From=0.0, To=6:58.9
Time,Dist,AvVel,AvStkRate,#Strokes
12.465,50.00,4.01,45.02,8
9.645,100.00,5.18,44.39,7
9.803,150.00,5.10,42.96,7
9.971,200.00,5.01,42.11,7
10.002,250.00,5.00,41.00,7
10.234,300.00,4.89,39.60,7
10.253,350.00,4.88,38.71,7
10.473,400.00,4.77,38.17,6
10.507,450.00,4.76,37.23,7
10.613,500.00,4.71,36.99,6
10.487,550.00,4.77,36.59,7
10.580,600.00,4.73,36.06,6
10.531,650.00,4.75,35.93,6
10.504,700.00,4.76,36.00,7
10.609,750.00,4.71,35.59,6
10.488,800.00,4.77,35.93,6
10.522,850.00,4.75,35.50,6
10.733,900.00,4.66,35.54,7
10.724,950.00,4.66,35.93,6
10.656,1000.00,4.69,35.71,6
10.865,1050.00,4.60,35.12,7
10.597,1100.00,4.72,35.17,6
10.469,1150.00,4.78,35.59,6
10.451,1200.00,4.78,35.09,6
10.550,1250.00,4.74,35.33,7
10.605,1300.00,4.71,35.21,6
10.485,1350.00,4.77,34.84,6
10.454,1400.00,4.78,35.01,6
10.448,1450.00,4.79,34.80,6
10.453,1500.00,4.78,34.97,6
10.318,1550.00,4.85,35.25,6
10.373,1600.00,4.82,35.84,6
10.509,1650.00,4.76,35.54,7
10.430,1700.00,4.79,35.80,6
10.323,1750.00,4.84,36.19,6
10.380,1800.00,4.82,36.72,6
10.322,1850.00,4.84,36.96,7
10.262,1900.00,4.87,37.22,6
10.510,1950.00,4.76,37.82,7
10.265,2000.00,4.87,39.65,7
