Logan V48.39
rawFileName=C:\MinimaxData\rowing\2018-19 rowing season\2019.02.15-17 nsw state champs\rover23808 1902171019.raw
From=0.0, To=7:23.8
Time,Dist,AvVel,AvStkRate,#Strokes
14.166,50.00,3.53,35.09,6
10.051,100.00,4.97,35.29,6
10.030,150.00,4.99,34.97,6
10.229,200.00,4.89,33.86,6
10.487,250.00,4.77,33.30,6
10.701,300.00,4.67,32.30,5
10.860,350.00,4.60,32.79,6
10.796,400.00,4.63,32.68,6
10.800,450.00,4.63,32.47,6
10.928,500.00,4.58,31.91,6
11.035,550.00,4.53,31.58,6
11.025,600.00,4.54,31.79,5
11.130,650.00,4.49,31.58,6
11.084,700.00,4.51,31.65,6
11.140,750.00,4.49,31.85,6
11.182,800.00,4.47,31.91,6
11.244,850.00,4.45,31.85,6
11.263,900.00,4.44,31.48,6
11.205,950.00,4.46,32.40,6
11.127,1000.00,4.49,32.26,6
11.290,1050.00,4.43,32.50,6
11.260,1100.00,4.44,32.22,6
11.234,1150.00,4.45,32.15,6
11.149,1200.00,4.48,32.47,6
11.178,1250.00,4.47,32.12,6
11.208,1300.00,4.46,31.58,6
11.228,1350.00,4.45,32.26,6
11.336,1400.00,4.41,31.85,6
11.335,1450.00,4.41,32.61,6
11.434,1500.00,4.37,32.19,6
11.394,1550.00,4.39,32.23,7
11.367,1600.00,4.40,32.09,6
11.252,1650.00,4.44,32.47,6
11.161,1700.00,4.48,33.19,6
11.135,1750.00,4.49,33.22,6
11.023,1800.00,4.54,32.64,6
10.857,1850.00,4.61,33.22,6
10.883,1900.00,4.59,33.00,6
10.867,1950.00,4.60,34.01,6
10.703,2000.00,4.67,34.29,6
