Logan V48.29
rawFileName=C:\MinimaxData\rover39892 1903260941.raw
From=0.0, To=6:41.9
Time,Dist,AvVel,AvStkRate,#Strokes
11.787,50.00,4.24,43.48,7
8.941,100.00,5.59,42.30,7
9.191,150.00,5.44,41.49,6
9.240,200.00,5.41,40.71,6
9.530,250.00,5.25,40.09,7
9.618,300.00,5.20,39.32,6
9.662,350.00,5.18,38.96,6
9.855,400.00,5.07,38.96,7
9.830,450.00,5.09,38.71,6
9.848,500.00,5.08,38.27,6
10.031,550.00,4.98,38.38,7
9.912,600.00,5.04,38.56,6
10.016,650.00,4.99,38.38,7
10.175,700.00,4.91,38.41,6
10.375,750.00,4.82,38.22,7
10.293,800.00,4.86,38.46,6
10.426,850.00,4.80,38.01,7
10.307,900.00,4.85,38.27,6
10.532,950.00,4.75,38.01,7
10.402,1000.00,4.81,38.01,7
10.377,1050.00,4.82,37.93,6
10.311,1100.00,4.85,37.89,7
10.155,1150.00,4.92,38.22,6
10.163,1200.00,4.92,38.63,7
10.090,1250.00,4.96,38.61,6
10.289,1300.00,4.86,38.88,7
10.028,1350.00,4.99,39.22,6
10.184,1400.00,4.91,38.92,7
10.189,1450.00,4.91,38.92,7
10.150,1500.00,4.93,38.86,6
10.273,1550.00,4.87,38.88,7
10.036,1600.00,4.98,39.34,7
10.202,1650.00,4.90,39.58,6
10.147,1700.00,4.93,39.39,7
10.212,1750.00,4.90,39.60,7
10.195,1800.00,4.90,39.06,6
9.805,1850.00,5.10,41.05,7
9.661,1900.00,5.18,40.72,7
9.697,1950.00,5.16,41.44,6
9.723,2000.00,5.14,41.71,7
