Logan V48.29
rawFileName=C:\MinimaxData\rover39892 1903270837.raw
From=0.0, To=7:03.3
Time,Dist,AvVel,AvStkRate,#Strokes
11.461,50.00,4.36,41.67,7
9.719,100.00,5.14,36.90,6
9.937,150.00,5.03,36.41,6
10.007,200.00,5.00,36.54,6
10.150,250.00,4.93,36.01,6
10.245,300.00,4.88,35.93,6
10.231,350.00,4.89,35.50,6
10.256,400.00,4.87,35.55,6
10.384,450.00,4.82,35.46,6
10.509,500.00,4.76,34.92,7
10.528,550.00,4.75,35.55,6
10.535,600.00,4.75,35.17,6
10.591,650.00,4.72,34.76,6
10.691,700.00,4.68,34.84,6
10.663,750.00,4.69,34.92,6
10.728,800.00,4.66,35.02,7
10.599,850.00,4.72,35.17,6
10.565,900.00,4.73,35.42,6
10.494,950.00,4.76,35.38,6
10.675,1000.00,4.68,35.40,7
10.708,1050.00,4.67,34.97,6
10.840,1100.00,4.61,35.09,6
10.840,1150.00,4.61,35.36,7
10.671,1200.00,4.69,35.25,6
10.581,1250.00,4.73,35.93,6
10.726,1300.00,4.66,35.93,7
10.783,1350.00,4.64,36.10,6
10.862,1400.00,4.60,35.82,7
10.935,1450.00,4.57,35.97,6
10.866,1500.00,4.60,36.62,7
10.503,1550.00,4.76,37.17,6
10.641,1600.00,4.70,37.27,7
10.532,1650.00,4.75,37.23,7
10.692,1700.00,4.68,37.97,6
10.782,1750.00,4.64,38.10,7
10.719,1800.00,4.66,38.38,7
10.476,1850.00,4.77,38.92,7
10.560,1900.00,4.73,38.75,7
10.597,1950.00,4.72,38.83,7
10.966,2000.00,4.56,38.67,7
