Logan V48.29
rawFileName=C:\MinimaxData\rover56667 1903280936.raw
From=0.0, To=6:58.5
Time,Dist,AvVel,AvStkRate,#Strokes
11.710,50.00,4.27,38.46,8
9.677,100.00,5.17,38.46,6
9.886,150.00,5.06,36.72,6
9.969,200.00,5.02,36.99,6
9.918,250.00,5.04,36.76,6
10.041,300.00,4.98,36.76,6
10.152,350.00,4.92,37.04,7
10.110,400.00,4.95,36.99,6
10.077,450.00,4.96,37.13,6
10.074,500.00,4.96,37.08,6
10.325,550.00,4.84,36.85,7
10.231,600.00,4.89,36.90,6
10.157,650.00,4.92,36.90,6
10.333,700.00,4.84,37.19,7
10.277,750.00,4.87,37.04,6
10.187,800.00,4.91,37.27,6
10.520,850.00,4.75,37.00,7
10.303,900.00,4.85,37.13,6
10.514,950.00,4.76,37.11,7
10.516,1000.00,4.75,36.81,6
10.499,1050.00,4.76,36.85,7
10.530,1100.00,4.75,37.08,6
10.558,1150.00,4.74,37.08,7
10.549,1200.00,4.74,36.95,6
10.490,1250.00,4.77,37.04,7
10.579,1300.00,4.73,37.27,6
10.750,1350.00,4.65,37.42,7
10.693,1400.00,4.68,37.08,7
10.877,1450.00,4.60,37.13,6
10.958,1500.00,4.56,37.50,7
10.865,1550.00,4.60,37.31,7
10.714,1600.00,4.67,37.70,7
10.664,1650.00,4.69,37.59,6
10.682,1700.00,4.68,38.50,7
10.712,1750.00,4.67,38.42,7
10.677,1800.00,4.68,38.26,7
10.736,1850.00,4.66,38.30,7
10.525,1900.00,4.75,39.60,7
10.709,1950.00,4.67,39.39,7
10.786,2000.00,4.64,40.72,7
