Logan V48.29
rawFileName=C:\MinimaxData\rover39922 1903281050.raw
From=0.0, To=8:05.2
Time,Dist,AvVel,AvStkRate,#Strokes
12.962,50.00,3.86,46.78,9
10.898,100.00,4.59,43.17,8
10.905,150.00,4.59,42.11,7
11.305,200.00,4.42,40.42,8
11.350,250.00,4.41,39.22,7
11.623,300.00,4.30,38.22,8
11.663,350.00,4.29,37.23,7
11.724,400.00,4.26,37.23,7
12.054,450.00,4.15,36.97,8
12.156,500.00,4.11,35.89,7
12.039,550.00,4.15,35.40,7
11.829,600.00,4.23,35.19,7
11.881,650.00,4.21,35.43,7
11.986,700.00,4.17,35.02,7
12.020,750.00,4.16,34.95,7
11.962,800.00,4.18,34.35,7
11.797,850.00,4.24,34.25,7
11.883,900.00,4.21,34.52,6
12.040,950.00,4.15,34.25,7
12.134,1000.00,4.12,34.55,7
12.299,1050.00,4.07,33.58,7
12.313,1100.00,4.06,33.55,7
12.511,1150.00,4.00,33.18,7
12.262,1200.00,4.08,33.00,7
12.234,1250.00,4.09,33.21,7
12.440,1300.00,4.02,33.37,6
12.500,1350.00,4.00,33.46,7
12.548,1400.00,3.98,33.52,7
12.607,1450.00,3.97,33.36,7
12.468,1500.00,4.01,33.46,7
12.567,1550.00,3.98,33.79,8
12.489,1600.00,4.00,33.80,7
12.627,1650.00,3.96,33.71,7
12.410,1700.00,4.03,34.78,7
12.387,1750.00,4.04,34.58,7
12.689,1800.00,3.94,34.32,7
12.701,1850.00,3.94,34.65,8
12.403,1900.00,4.03,35.50,7
12.250,1950.00,4.08,36.44,7
12.311,2000.00,4.06,37.50,8
