Logan V48.29
rawFileName=C:\MinimaxData\rover23823 1903280938.raw
From=0.0, To=6:40.3
Time,Dist,AvVel,AvStkRate,#Strokes
11.640,50.00,4.30,45.36,8
8.879,100.00,5.63,44.05,6
9.000,150.00,5.56,42.76,7
9.385,200.00,5.33,41.44,6
9.398,250.00,5.32,40.76,6
9.681,300.00,5.16,39.82,7
9.685,350.00,5.16,38.81,6
9.701,400.00,5.15,38.81,6
9.962,450.00,5.02,38.96,7
9.801,500.00,5.10,39.42,6
10.034,550.00,4.98,39.34,7
9.880,600.00,5.06,38.96,6
10.213,650.00,4.90,38.96,7
9.994,700.00,5.00,38.91,6
10.284,750.00,4.86,38.88,7
10.180,800.00,4.91,39.09,7
10.074,850.00,4.96,39.01,6
10.075,900.00,4.96,38.42,7
10.222,950.00,4.89,38.27,6
10.276,1000.00,4.87,38.38,7
10.142,1050.00,4.93,38.56,6
10.322,1100.00,4.84,38.59,7
10.007,1150.00,5.00,38.76,6
10.160,1200.00,4.92,38.88,7
10.210,1250.00,4.90,38.63,7
10.366,1300.00,4.82,38.81,6
10.373,1350.00,4.82,38.83,7
10.135,1400.00,4.93,38.91,6
10.455,1450.00,4.78,38.79,7
10.270,1500.00,4.87,39.17,7
10.495,1550.00,4.76,38.71,7
10.187,1600.00,4.91,39.58,6
10.382,1650.00,4.82,39.56,7
10.366,1700.00,4.82,39.74,7
10.251,1750.00,4.88,39.78,7
9.938,1800.00,5.03,40.86,7
9.451,1850.00,5.29,42.67,6
9.505,1900.00,5.26,42.91,7
9.539,1950.00,5.24,42.81,7
9.412,2000.00,5.31,42.60,7
