Logan V48.29
rawFileName=C:\MinimaxData\rover56666 1903281220.raw
From=0.0, To=7:44.4
Time,Dist,AvVel,AvStkRate,#Strokes
13.210,50.00,3.78,35.96,7
9.863,100.00,5.07,36.01,6
10.375,150.00,4.82,34.84,6
10.190,200.00,4.91,34.48,6
10.162,250.00,4.92,34.92,6
10.426,300.00,4.80,33.24,5
10.642,350.00,4.70,33.11,6
10.734,400.00,4.66,32.54,6
11.365,450.00,4.40,31.55,6
11.052,500.00,4.52,31.19,6
10.909,550.00,4.58,30.80,6
11.172,600.00,4.48,30.89,5
11.307,650.00,4.42,30.27,6
11.207,700.00,4.46,29.59,6
11.355,750.00,4.40,29.78,5
11.183,800.00,4.47,29.27,6
11.486,850.00,4.35,29.38,5
11.332,900.00,4.41,29.82,6
11.369,950.00,4.40,29.38,5
11.548,1000.00,4.33,29.01,6
11.163,1050.00,4.48,29.88,6
11.457,1100.00,4.36,30.23,5
11.378,1150.00,4.39,30.09,6
11.393,1200.00,4.39,30.74,6
11.542,1250.00,4.33,30.06,6
12.057,1300.00,4.15,38.67,7
11.955,1350.00,4.18,29.01,6
12.127,1400.00,4.12,28.57,6
12.215,1450.00,4.09,27.91,6
11.797,1500.00,4.24,35.71,6
11.945,1550.00,4.19,27.78,6
11.997,1600.00,4.17,27.87,5
12.480,1650.00,4.01,27.37,6
12.637,1700.00,3.96,31.97,7
12.632,1750.00,3.96,34.58,7
12.684,1800.00,3.94,32.64,7
13.087,1850.00,3.82,26.79,6
12.941,1900.00,3.86,26.98,6
12.871,1950.00,3.88,26.34,5
13.152,2000.00,3.80,26.18,6
