Logan V48.29
rawFileName=C:\MinimaxData\rover56665 1903280939.raw
From=0.0, To=7:31.6
Time,Dist,AvVel,AvStkRate,#Strokes
12.736,50.00,3.93,41.92,8
9.968,100.00,5.02,40.87,6
10.331,150.00,4.84,38.88,7
10.246,200.00,4.88,36.72,6
10.527,250.00,4.75,35.86,7
10.643,300.00,4.70,35.63,6
10.631,350.00,4.70,34.72,6
10.703,400.00,4.67,33.98,6
10.801,450.00,4.63,33.19,6
10.858,500.00,4.60,33.00,6
10.963,550.00,4.56,32.68,6
11.127,600.00,4.49,32.47,6
11.260,650.00,4.44,32.47,6
11.385,700.00,4.39,32.19,6
11.482,750.00,4.35,31.71,6
11.532,800.00,4.34,31.80,7
11.595,850.00,4.31,32.15,6
11.461,900.00,4.36,31.88,6
11.464,950.00,4.36,31.78,6
11.365,1000.00,4.40,32.05,6
11.418,1050.00,4.38,31.58,6
11.393,1100.00,4.39,32.02,6
11.431,1150.00,4.37,32.12,6
11.582,1200.00,4.32,31.91,6
11.828,1250.00,4.23,32.09,7
11.553,1300.00,4.33,32.33,6
11.466,1350.00,4.36,32.12,6
11.489,1400.00,4.35,32.33,6
11.622,1450.00,4.30,32.05,6
11.915,1500.00,4.20,31.97,7
11.824,1550.00,4.23,32.15,6
11.662,1600.00,4.29,32.26,6
11.898,1650.00,4.20,32.52,7
11.466,1700.00,4.36,33.56,6
11.567,1750.00,4.32,33.99,7
11.285,1800.00,4.43,34.17,6
11.502,1850.00,4.35,34.52,7
11.454,1900.00,4.37,35.29,7
11.166,1950.00,4.48,35.97,6
10.970,1999.94,4.55,37.38,7
