Logan V48.29
rawFileName=C:\MinimaxData\rover56666 1903280833.raw
From=0.0, To=7:40.5
Time,Dist,AvVel,AvStkRate,#Strokes
12.831,50.00,3.90,41.50,8
10.569,100.00,4.73,39.52,7
10.666,150.00,4.69,37.59,6
11.158,200.00,4.48,36.36,7
11.102,250.00,4.50,34.88,7
11.254,300.00,4.44,34.25,6
11.235,350.00,4.45,34.03,7
11.512,400.00,4.34,34.09,6
11.378,450.00,4.39,34.19,7
11.545,500.00,4.33,33.90,6
11.318,550.00,4.42,34.25,7
11.478,600.00,4.36,34.25,6
11.408,650.00,4.38,34.82,7
11.443,700.00,4.37,34.56,6
11.491,750.00,4.35,34.55,7
11.453,800.00,4.37,34.40,6
11.654,850.00,4.29,34.25,7
11.516,900.00,4.34,34.25,7
11.533,950.00,4.34,34.40,6
11.552,1000.00,4.33,34.55,7
11.416,1050.00,4.38,35.57,7
11.413,1100.00,4.38,35.46,6
11.567,1150.00,4.32,35.43,7
11.559,1200.00,4.33,35.40,7
11.445,1250.00,4.37,35.40,7
11.376,1300.00,4.40,35.46,6
11.511,1350.00,4.34,35.64,7
11.648,1400.00,4.29,35.61,7
11.682,1450.00,4.28,34.82,7
11.678,1500.00,4.28,34.82,7
11.755,1550.00,4.25,35.40,7
11.703,1600.00,4.27,35.71,7
11.709,1650.00,4.27,35.86,7
11.622,1700.00,4.30,35.01,6
11.945,1750.00,4.19,34.29,7
12.019,1800.00,4.16,34.48,7
11.632,1850.00,4.30,35.89,7
11.638,1900.00,4.30,36.00,7
11.531,1950.00,4.34,35.79,7
11.576,2000.00,4.32,36.33,7
