Logan V48.29
rawFileName=C:\MinimaxData\rover39892 1903280831.raw
From=0.0, To=7:34.8
Time,Dist,AvVel,AvStkRate,#Strokes
12.773,50.00,3.91,41.96,8
10.012,100.00,4.99,41.33,7
10.118,150.00,4.94,40.82,7
10.263,200.00,4.87,39.74,6
10.678,250.00,4.68,37.70,7
10.806,300.00,4.63,36.22,7
10.860,350.00,4.60,36.23,6
11.106,400.00,4.50,35.57,7
11.059,450.00,4.52,35.34,6
11.251,500.00,4.44,35.23,7
11.247,550.00,4.45,35.12,7
11.495,600.00,4.35,34.76,6
11.541,650.00,4.33,34.82,7
11.582,700.00,4.32,34.78,7
11.541,750.00,4.33,34.72,6
11.711,800.00,4.27,34.48,7
11.610,850.00,4.31,34.25,7
11.631,900.00,4.30,34.25,6
11.746,950.00,4.26,34.12,7
11.588,1000.00,4.31,34.16,7
11.625,1050.00,4.30,34.21,6
11.715,1100.00,4.27,34.22,7
11.544,1150.00,4.33,34.62,7
11.750,1200.00,4.26,34.36,6
11.592,1250.00,4.31,34.45,7
11.519,1300.00,4.34,34.52,6
11.673,1350.00,4.28,34.58,7
11.550,1400.00,4.33,34.32,7
11.476,1450.00,4.36,34.44,6
11.699,1500.00,4.27,34.52,7
11.580,1550.00,4.32,34.52,7
11.363,1600.00,4.40,34.60,6
11.585,1650.00,4.32,34.82,7
11.468,1700.00,4.36,35.02,7
11.416,1750.00,4.38,34.76,6
11.509,1800.00,4.34,35.16,7
11.321,1850.00,4.42,35.93,7
11.165,1900.00,4.48,35.96,7
11.228,1950.00,4.45,36.14,6
11.456,2000.00,4.36,35.96,7
