Logan V48.29
rawFileName=C:\MinimaxData\rover39787 1903280926.raw
From=0.0, To=7:26.4
Time,Dist,AvVel,AvStkRate,#Strokes
13.104,50.00,3.82,47.81,9
10.053,100.00,4.97,43.93,8
10.247,150.00,4.88,41.96,7
10.390,200.00,4.81,40.77,7
10.469,250.00,4.78,40.40,7
10.765,300.00,4.64,38.88,7
10.783,350.00,4.64,38.67,7
10.841,400.00,4.61,38.26,7
11.186,450.00,4.47,37.97,7
11.268,500.00,4.44,37.70,7
11.097,550.00,4.51,36.73,7
11.310,600.00,4.42,36.47,7
11.286,650.00,4.43,36.19,6
11.319,700.00,4.42,36.18,7
11.400,750.00,4.39,35.79,7
11.105,800.00,4.50,35.19,7
11.340,850.00,4.41,35.80,6
11.232,900.00,4.45,35.33,7
11.214,950.00,4.46,35.61,7
11.187,1000.00,4.47,34.76,6
11.078,1050.00,4.51,34.48,6
11.475,1100.00,4.36,35.12,7
11.416,1150.00,4.38,34.72,7
11.218,1200.00,4.46,34.64,6
11.256,1250.00,4.44,34.85,7
11.189,1300.00,4.47,35.01,6
11.369,1350.00,4.40,34.82,7
11.266,1400.00,4.44,34.80,6
11.533,1450.00,4.34,34.65,7
11.358,1500.00,4.40,34.45,7
11.229,1550.00,4.45,35.34,6
11.233,1600.00,4.45,35.89,7
10.993,1650.00,4.55,35.89,6
11.208,1700.00,4.46,35.82,7
11.134,1750.00,4.49,36.33,7
10.934,1800.00,4.57,36.14,6
11.105,1850.00,4.50,36.62,7
11.136,1900.00,4.49,36.92,7
11.147,1950.00,4.49,37.11,7
11.561,2000.00,4.32,36.73,7
