Logan V48.29
rawFileName=C:\MinimaxData\rover23808 1903290944.raw
From=0.0, To=6:09.5
Time,Dist,AvVel,AvStkRate,#Strokes
11.749,50.00,4.26,44.84,6
8.415,100.00,5.94,45.80,7
8.406,150.00,5.95,43.92,6
8.577,200.00,5.83,42.13,6
8.615,250.00,5.80,42.08,6
8.747,300.00,5.72,41.15,6
8.824,350.00,5.67,41.04,6
8.876,400.00,5.63,40.65,6
9.024,450.00,5.54,39.47,6
9.069,500.00,5.51,38.86,6
9.121,550.00,5.48,38.81,6
9.186,600.00,5.44,38.61,6
9.330,650.00,5.36,38.22,6
9.354,700.00,5.35,38.12,6
9.423,750.00,5.31,37.93,6
9.264,800.00,5.40,37.97,6
9.367,850.00,5.34,37.85,5
9.542,900.00,5.24,37.31,6
9.564,950.00,5.23,37.41,6
9.568,1000.00,5.23,37.36,6
9.563,1050.00,5.23,36.81,6
9.550,1100.00,5.24,37.31,6
9.464,1150.00,5.28,37.64,6
9.527,1200.00,5.25,37.13,6
9.589,1250.00,5.21,37.13,6
9.529,1300.00,5.25,36.76,6
9.430,1350.00,5.30,37.13,6
9.467,1400.00,5.28,37.09,5
9.519,1450.00,5.25,37.36,6
9.373,1500.00,5.33,37.88,6
9.346,1550.00,5.35,37.69,6
9.329,1600.00,5.36,37.88,6
9.327,1650.00,5.36,37.78,6
9.113,1700.00,5.49,38.46,6
8.981,1750.00,5.57,39.37,6
8.871,1800.00,5.64,40.27,5
8.872,1850.00,5.64,40.38,6
8.835,1900.00,5.66,40.65,6
8.878,1950.00,5.63,40.60,6
8.914,2000.00,5.61,39.95,6
