Logan V48.29
rawFileName=C:\MinimaxData\rover39922 1903290909.raw
From=0.0, To=7:13.0
Time,Dist,AvVel,AvStkRate,#Strokes
12.177,50.00,4.11,46.98,8
9.898,100.00,5.05,41.62,7
10.234,150.00,4.89,39.34,7
10.310,200.00,4.85,38.12,6
10.584,250.00,4.72,37.31,7
10.477,300.00,4.77,36.67,6
10.713,350.00,4.67,36.51,7
10.614,400.00,4.71,35.55,6
10.589,450.00,4.72,35.54,7
10.881,500.00,4.60,35.42,6
10.695,550.00,4.68,35.29,6
10.799,600.00,4.63,35.36,7
10.829,650.00,4.62,34.80,6
10.785,700.00,4.64,34.84,6
10.748,750.00,4.65,34.92,7
10.965,800.00,4.56,34.72,6
10.879,850.00,4.60,34.36,6
10.774,900.00,4.64,34.72,6
10.787,950.00,4.64,34.78,7
10.924,1000.00,4.58,34.48,6
10.728,1050.00,4.66,34.88,6
10.730,1100.00,4.66,34.68,6
10.908,1150.00,4.58,35.09,7
10.881,1200.00,4.60,34.64,6
10.904,1250.00,4.59,34.76,6
10.909,1300.00,4.58,34.62,7
10.981,1350.00,4.55,34.76,6
10.874,1400.00,4.60,34.84,6
10.955,1450.00,4.56,34.88,7
11.083,1500.00,4.51,34.80,6
10.870,1550.00,4.60,34.88,6
11.143,1600.00,4.49,34.78,7
10.993,1650.00,4.55,34.84,6
11.008,1700.00,4.54,35.29,7
10.999,1750.00,4.55,35.42,6
10.823,1800.00,4.62,35.71,7
10.920,1850.00,4.58,36.28,6
10.910,1900.00,4.58,35.89,7
10.808,1950.00,4.63,36.23,6
10.900,2000.00,4.59,35.75,7
