Logan V48.29
rawFileName=C:\MinimaxData\rover39886 1903290934.raw
From=0.0, To=6:52.1
Time,Dist,AvVel,AvStkRate,#Strokes
12.385,50.00,4.04,44.26,8
9.094,100.00,5.50,42.86,6
9.445,150.00,5.29,41.57,7
9.462,200.00,5.28,40.49,6
9.775,250.00,5.12,39.56,7
9.785,300.00,5.11,37.74,6
9.844,350.00,5.08,37.22,6
9.936,400.00,5.03,36.99,6
9.950,450.00,5.03,37.17,6
10.186,500.00,4.91,36.89,7
10.315,550.00,4.85,36.63,6
10.301,600.00,4.85,36.50,6
10.201,650.00,4.90,36.54,6
10.399,700.00,4.81,36.33,7
10.395,750.00,4.81,36.28,6
10.354,800.00,4.83,36.54,6
10.370,850.00,4.82,36.06,6
10.527,900.00,4.75,35.68,7
10.508,950.00,4.76,35.76,6
10.450,1000.00,4.78,35.29,6
10.433,1050.00,4.79,35.63,6
10.603,1100.00,4.72,35.57,7
10.560,1150.00,4.73,35.80,6
10.438,1200.00,4.79,35.71,6
10.411,1250.00,4.80,35.42,6
10.444,1300.00,4.79,35.25,6
10.666,1350.00,4.69,35.43,7
10.538,1400.00,4.74,35.42,6
10.443,1450.00,4.79,35.34,6
10.389,1500.00,4.81,35.59,6
10.372,1550.00,4.82,35.89,6
10.470,1600.00,4.78,35.89,7
10.411,1650.00,4.80,35.71,6
10.367,1700.00,4.82,36.06,6
10.404,1750.00,4.81,35.80,6
10.418,1800.00,4.80,36.66,7
10.303,1850.00,4.85,36.54,6
10.161,1900.00,4.92,37.22,6
10.378,1950.00,4.82,37.00,7
10.178,1999.95,4.91,37.22,6
