Logan V48.29
rawFileName=C:\MinimaxData\rover23823 1903301113.raw
From=0.0, To=7:13.5
Time,Dist,AvVel,AvStkRate,#Strokes
12.988,50.00,3.85,39.09,7
9.562,100.00,5.23,38.34,7
9.666,150.00,5.17,36.81,6
10.115,200.00,4.94,33.71,5
10.470,250.00,4.78,32.82,6
10.511,300.00,4.76,32.93,6
10.412,350.00,4.80,32.83,5
10.634,400.00,4.70,33.00,6
10.706,450.00,4.67,33.11,6
10.702,500.00,4.67,33.04,6
10.671,550.00,4.69,32.89,6
10.752,600.00,4.65,32.79,6
10.751,650.00,4.65,32.64,6
10.773,700.00,4.64,32.57,6
10.889,750.00,4.59,32.70,5
10.919,800.00,4.58,32.54,6
11.094,850.00,4.51,32.57,6
11.069,900.00,4.52,32.68,6
11.071,950.00,4.52,32.43,6
10.837,1000.00,4.61,32.93,6
10.911,1050.00,4.58,32.79,6
11.016,1100.00,4.54,32.57,6
11.000,1150.00,4.55,32.97,6
11.060,1200.00,4.52,32.86,6
11.014,1250.00,4.54,33.24,7
10.953,1300.00,4.57,33.08,6
11.053,1350.00,4.52,32.75,6
10.952,1400.00,4.57,32.93,6
11.076,1450.00,4.51,32.82,6
11.004,1500.00,4.54,33.19,6
10.818,1550.00,4.62,34.09,6
10.820,1600.00,4.62,33.75,6
10.925,1650.00,4.58,33.82,6
10.921,1700.00,4.58,34.65,7
11.198,1750.00,4.47,33.98,6
10.963,1800.00,4.56,34.48,6
10.891,1850.00,4.59,34.32,6
10.985,1900.00,4.55,34.42,7
10.779,1950.00,4.64,34.64,6
10.549,2000.00,4.74,34.97,6
