Logan V48.29
rawFileName=C:\MinimaxData\rover39922 1903311320.raw
From=0.0, To=7:03.1
Time,Dist,AvVel,AvStkRate,#Strokes
12.567,50.00,3.98,43.70,8
9.076,100.00,5.51,42.43,6
9.352,150.00,5.35,41.05,7
9.538,200.00,5.24,39.95,6
9.757,250.00,5.12,39.17,7
10.044,300.00,4.98,38.36,6
10.094,350.00,4.95,37.88,6
10.156,400.00,4.92,37.70,7
10.616,450.00,4.71,36.41,6
10.789,500.00,4.63,36.77,7
10.679,550.00,4.68,36.59,6
10.849,600.00,4.61,35.86,7
10.451,650.00,4.78,36.23,6
10.469,700.00,4.78,36.25,7
10.354,750.00,4.83,36.50,6
10.370,800.00,4.82,36.01,6
10.392,850.00,4.81,36.66,7
10.671,900.00,4.69,36.23,6
10.618,950.00,4.71,36.01,6
10.801,1000.00,4.63,36.00,7
10.710,1050.00,4.67,35.59,6
10.752,1100.00,4.65,35.61,7
10.869,1150.00,4.60,35.29,6
10.961,1200.00,4.56,35.05,7
11.260,1250.00,4.44,35.05,6
10.915,1300.00,4.58,34.68,6
11.151,1350.00,4.48,35.43,7
10.895,1400.00,4.59,35.05,6
10.983,1450.00,4.55,35.16,7
11.054,1500.00,4.52,34.92,6
11.028,1550.00,4.53,35.02,7
10.814,1600.00,4.62,35.13,6
10.866,1650.00,4.60,34.76,6
10.879,1700.00,4.60,35.02,7
10.578,1750.00,4.73,35.46,6
10.369,1800.00,4.82,35.46,6
10.327,1850.00,4.84,35.97,6
10.298,1900.00,4.86,35.97,6
10.474,1950.00,4.77,35.96,7
10.254,2000.00,4.88,36.81,6
