Logan V48.29
rawFileName=C:\MinimaxData\rover56666 1903311408.raw
From=0.0, To=5:45.7
Time,Dist,AvVel,AvStkRate,#Strokes
11.238,50.00,4.45,48.33,8
7.725,100.00,6.47,48.39,6
7.743,150.00,6.46,46.95,6
7.983,200.00,6.26,45.80,6
7.977,250.00,6.27,45.39,6
8.087,300.00,6.18,44.58,6
8.179,350.00,6.11,43.99,6
8.238,400.00,6.07,43.67,6
8.245,450.00,6.06,43.73,6
8.292,500.00,6.03,43.35,6
8.327,550.00,6.00,43.17,6
8.362,600.00,5.98,42.55,6
8.473,650.00,5.90,42.61,6
8.485,700.00,5.89,42.37,6
8.391,750.00,5.96,42.55,6
8.438,800.00,5.93,42.19,6
8.453,850.00,5.92,42.13,6
8.685,900.00,5.76,42.02,6
8.865,950.00,5.64,41.61,6
8.695,1000.00,5.75,42.86,6
8.613,1050.00,5.81,42.49,6
8.698,1100.00,5.75,41.90,6
8.808,1150.00,5.68,41.71,7
8.757,1200.00,5.71,41.55,6
8.795,1250.00,5.69,41.49,6
8.751,1300.00,5.71,41.38,6
8.747,1350.00,5.72,42.02,6
8.871,1400.00,5.64,41.44,6
8.845,1450.00,5.65,41.27,6
8.838,1500.00,5.66,41.27,6
8.860,1550.00,5.64,41.49,6
9.059,1600.00,5.52,40.96,7
9.216,1650.00,5.43,40.98,6
8.991,1700.00,5.56,40.87,6
8.869,1750.00,5.64,40.87,6
8.839,1800.00,5.66,40.93,6
8.761,1850.00,5.71,41.15,6
8.761,1900.00,5.71,41.55,6
8.844,1950.00,5.65,41.49,6
8.918,2000.00,5.61,40.60,6
