Logan V48.29
rawFileName=C:\MinimaxData\rover23808 1903311249.raw
From=0.0, To=7:59.9
Time,Dist,AvVel,AvStkRate,#Strokes
12.966,50.00,3.86,41.67,8
10.886,100.00,4.59,39.05,7
10.878,150.00,4.60,36.73,7
10.944,200.00,4.57,35.84,6
11.329,250.00,4.41,34.58,7
11.457,300.00,4.36,33.48,6
12.009,350.00,4.16,32.35,7
11.951,400.00,4.18,32.26,6
12.134,450.00,4.12,31.94,7
12.358,500.00,4.05,31.81,6
12.007,550.00,4.16,31.65,6
12.275,600.00,4.07,31.20,7
12.468,650.00,4.01,31.28,6
12.535,700.00,3.99,31.03,7
12.383,750.00,4.04,30.86,6
12.403,800.00,4.03,31.17,7
12.302,850.00,4.06,30.77,6
12.090,900.00,4.14,30.90,6
12.111,950.00,4.13,31.44,7
11.999,1000.00,4.17,31.45,6
11.973,1050.00,4.18,31.68,6
12.012,1100.00,4.16,31.36,7
12.103,1150.00,4.13,31.55,6
11.968,1200.00,4.18,31.71,6
11.990,1250.00,4.17,31.94,7
12.134,1300.00,4.12,31.85,6
12.069,1350.00,4.14,31.78,6
12.217,1400.00,4.09,32.09,7
12.116,1450.00,4.13,31.98,6
12.268,1500.00,4.08,31.83,7
12.081,1550.00,4.14,31.95,6
12.425,1600.00,4.02,31.97,7
11.894,1650.00,4.20,32.26,6
12.128,1700.00,4.12,32.40,7
11.764,1750.00,4.25,32.79,6
11.855,1800.00,4.22,32.94,7
11.689,1850.00,4.28,33.63,6
11.922,1900.00,4.19,33.61,7
11.913,1950.00,4.20,33.52,7
11.871,2000.00,4.21,33.63,6
