Logan V48.39
rawFileName=C:\MinimaxData\rover39922 2001251013.raw
From=0.0, To=7:28.0
Time,Dist,AvVel,AvStkRate,#Strokes
12.231,50.00,4.09,43.84,8
10.038,100.00,4.98,39.43,7
10.555,150.00,4.74,37.88,6
10.619,200.00,4.71,36.66,7
10.788,250.00,4.63,35.38,6
10.845,300.00,4.61,34.72,6
11.013,350.00,4.54,33.48,6
11.168,400.00,4.48,33.93,7
11.180,450.00,4.47,33.30,6
11.100,500.00,4.50,33.86,6
11.113,550.00,4.50,34.95,7
11.109,600.00,4.50,34.68,6
10.943,650.00,4.57,34.40,6
11.106,700.00,4.50,34.22,7
10.978,750.00,4.55,34.76,6
10.959,800.00,4.56,35.12,7
11.255,850.00,4.44,34.84,6
11.047,900.00,4.53,34.21,6
11.191,950.00,4.47,34.55,7
11.005,1000.00,4.54,35.25,6
11.132,1050.00,4.49,34.68,7
11.232,1100.00,4.45,34.64,6
11.393,1150.00,4.39,34.85,7
11.488,1200.00,4.35,33.98,6
11.555,1250.00,4.33,33.09,7
11.517,1300.00,4.34,33.90,6
11.293,1350.00,4.43,34.05,6
11.372,1400.00,4.40,34.19,7
11.042,1450.00,4.53,34.13,6
10.972,1500.00,4.56,34.45,7
11.146,1550.00,4.49,37.22,6
11.529,1600.00,4.34,33.93,7
11.598,1650.00,4.31,34.16,7
11.649,1700.00,4.29,33.75,6
11.093,1750.00,4.51,36.25,7
11.106,1800.00,4.50,37.58,7
11.378,1850.00,4.39,37.23,7
11.626,1900.00,4.30,36.14,7
11.731,1950.00,4.26,35.71,7
11.926,2000.00,4.19,33.12,7
