Logan V48.39
rawFileName=C:\MinimaxData\rover39787 2001251017.raw
From=0.0, To=7:22.8
Time,Dist,AvVel,AvStkRate,#Strokes
11.840,50.00,4.22,42.25,7
10.123,100.00,4.94,39.69,7
10.316,150.00,4.85,37.17,6
10.747,200.00,4.65,35.82,7
10.764,250.00,4.65,34.88,6
10.834,300.00,4.62,34.21,6
10.946,350.00,4.57,33.90,6
10.924,400.00,4.58,33.80,7
10.991,450.00,4.55,33.59,6
10.938,500.00,4.57,32.75,6
11.093,550.00,4.51,33.26,6
11.245,600.00,4.45,32.97,6
11.180,650.00,4.47,32.79,6
11.109,700.00,4.50,32.54,6
11.070,750.00,4.52,32.61,6
11.311,800.00,4.42,32.26,6
11.378,850.00,4.39,32.05,6
11.276,900.00,4.43,31.88,6
11.336,950.00,4.41,32.05,6
11.377,1000.00,4.39,31.71,6
11.375,1050.00,4.40,32.15,6
11.427,1100.00,4.38,32.02,6
11.558,1150.00,4.33,31.52,7
11.575,1200.00,4.32,32.05,6
11.663,1250.00,4.29,31.85,6
11.571,1300.00,4.32,30.86,6
11.774,1350.00,4.25,30.86,6
11.256,1400.00,4.44,30.67,6
11.185,1450.00,4.47,31.21,5
11.058,1500.00,4.52,31.98,6
11.159,1550.00,4.48,32.43,6
11.130,1600.00,4.49,32.72,6
10.970,1650.00,4.56,33.11,6
10.875,1700.00,4.60,33.36,7
10.699,1750.00,4.67,33.20,5
10.676,1800.00,4.68,33.86,6
10.521,1850.00,4.75,34.21,6
10.682,1900.00,4.68,34.06,7
10.449,1950.00,4.78,36.36,6
10.358,2000.00,4.83,36.63,6
