Logan V48.39
rawFileName=C:\MinimaxData\rover23823 2001251021.raw
From=0.0, To=7:33.8
Time,Dist,AvVel,AvStkRate,#Strokes
12.058,50.00,4.15,44.44,8
9.980,100.00,5.01,41.38,7
10.245,150.00,4.88,39.16,6
10.606,200.00,4.71,38.30,7
10.804,250.00,4.63,37.50,7
10.864,300.00,4.60,36.89,7
10.777,350.00,4.64,37.27,6
11.005,400.00,4.54,36.29,7
10.903,450.00,4.59,36.36,7
10.918,500.00,4.58,35.76,6
10.998,550.00,4.55,35.61,7
11.214,600.00,4.46,35.09,6
11.423,650.00,4.38,34.88,7
11.281,700.00,4.43,35.05,6
11.403,750.00,4.38,35.36,7
11.533,800.00,4.34,34.72,7
11.469,850.00,4.36,34.36,6
11.511,900.00,4.34,34.85,7
11.461,950.00,4.36,35.09,7
11.344,1000.00,4.41,34.80,6
11.588,1050.00,4.31,34.88,7
11.574,1100.00,4.32,35.05,7
11.439,1150.00,4.37,35.02,7
11.659,1200.00,4.29,34.84,6
11.725,1250.00,4.26,34.82,7
11.792,1300.00,4.24,34.42,7
11.659,1350.00,4.29,34.29,7
11.639,1400.00,4.30,34.76,6
11.537,1450.00,4.33,34.48,7
11.463,1500.00,4.36,34.40,6
11.870,1550.00,4.21,34.29,7
11.735,1600.00,4.26,34.95,7
11.495,1650.00,4.35,35.02,7
11.367,1700.00,4.40,34.92,6
11.809,1750.00,4.23,34.88,7
11.528,1800.00,4.34,35.09,7
11.534,1850.00,4.33,35.09,7
11.507,1900.00,4.35,34.84,6
11.484,1950.00,4.35,35.40,7
11.589,2000.00,4.31,35.05,7
