Logan V48.39
rawFileName=C:\MinimaxData\rover56667 2001251013.raw
From=0.0, To=6:52.8
Time,Dist,AvVel,AvStkRate,#Strokes
12.331,50.00,4.05,42.35,7
9.301,100.00,5.38,42.91,7
9.219,150.00,5.42,40.98,6
9.608,200.00,5.20,40.22,7
9.541,250.00,5.24,39.53,6
9.561,300.00,5.23,39.11,6
9.845,350.00,5.08,38.34,7
9.947,400.00,5.03,38.07,6
9.946,450.00,5.03,37.74,6
10.094,500.00,4.95,37.62,7
10.207,550.00,4.90,37.64,6
10.107,600.00,4.95,37.41,6
10.177,650.00,4.91,37.15,7
10.353,700.00,4.83,37.08,6
10.206,750.00,4.90,36.81,6
10.091,800.00,4.95,37.17,6
10.393,850.00,4.81,36.96,7
10.274,900.00,4.87,36.67,6
10.380,950.00,4.82,36.89,7
10.489,1000.00,4.77,37.04,6
10.363,1050.00,4.82,36.76,6
10.587,1100.00,4.72,36.62,7
10.434,1150.00,4.79,36.63,6
10.604,1200.00,4.72,36.51,7
10.729,1250.00,4.66,36.32,6
10.654,1300.00,4.69,36.59,7
10.620,1350.00,4.71,36.45,6
10.568,1400.00,4.73,36.73,7
10.640,1450.00,4.70,36.67,6
10.552,1500.00,4.74,36.45,6
10.767,1550.00,4.64,36.51,7
10.544,1600.00,4.74,36.50,6
10.658,1650.00,4.69,36.47,7
10.552,1700.00,4.74,36.14,6
10.633,1750.00,4.70,36.92,7
10.437,1800.00,4.79,36.76,6
10.296,1850.00,4.86,37.34,7
10.400,1900.00,4.81,37.45,6
10.381,1950.00,4.82,37.50,7
10.280,2000.00,4.86,37.45,6
