Logan V48.39
rawFileName=C:\MinimaxData\rover56665 2001250829.raw
From=0.0, To=7:46.5
Time,Dist,AvVel,AvStkRate,#Strokes
13.453,50.00,3.72,36.18,7
10.783,100.00,4.64,35.64,7
11.003,150.00,4.54,34.88,6
11.064,200.00,4.52,34.52,6
10.954,250.00,4.56,33.78,6
11.178,300.00,4.47,34.03,7
11.212,350.00,4.46,33.59,6
11.499,400.00,4.35,32.54,6
11.425,450.00,4.38,32.19,6
11.426,500.00,4.38,32.97,7
11.521,550.00,4.34,32.43,6
11.576,600.00,4.32,32.57,6
11.434,650.00,4.37,31.88,6
11.465,700.00,4.36,32.33,6
11.810,750.00,4.23,31.36,7
11.722,800.00,4.27,32.12,6
11.448,850.00,4.37,32.72,6
11.606,900.00,4.31,31.61,6
11.840,950.00,4.22,30.30,6
11.697,1000.00,4.27,30.93,6
11.668,1050.00,4.29,30.55,6
11.901,1100.00,4.20,30.58,6
11.798,1150.00,4.24,30.46,6
11.819,1200.00,4.23,30.86,6
11.843,1250.00,4.22,30.93,6
11.810,1300.00,4.23,31.15,6
11.612,1350.00,4.31,31.72,7
11.948,1400.00,4.18,30.80,6
12.138,1450.00,4.12,30.21,6
12.046,1500.00,4.15,30.18,6
11.932,1550.00,4.19,30.46,6
11.792,1600.00,4.24,31.06,6
11.944,1650.00,4.19,30.03,6
11.986,1700.00,4.17,30.27,6
11.674,1750.00,4.28,30.15,6
11.718,1800.00,4.27,30.96,6
11.702,1850.00,4.27,31.48,6
11.771,1900.00,4.25,30.96,6
11.676,1950.00,4.28,31.41,6
11.650,2000.00,4.29,31.12,6
