Logan V48.39
rawFileName=C:\MinimaxData\rover39886 2001250830.raw
From=0.0, To=8:04.8
Time,Dist,AvVel,AvStkRate,#Strokes
14.219,50.00,3.52,39.74,8
10.685,100.00,4.68,39.91,7
10.915,150.00,4.58,38.59,7
11.090,200.00,4.51,37.23,7
11.043,250.00,4.53,36.73,7
11.064,300.00,4.52,36.00,7
11.350,350.00,4.41,35.71,6
11.551,400.00,4.33,35.19,7
11.610,450.00,4.31,34.65,7
11.458,500.00,4.36,34.52,6
11.703,550.00,4.27,34.55,7
11.866,600.00,4.21,34.52,7
11.796,650.00,4.24,34.29,7
11.884,700.00,4.21,34.29,6
12.216,750.00,4.09,33.49,7
12.225,800.00,4.09,33.21,7
12.215,850.00,4.09,33.30,7
12.289,900.00,4.07,33.30,7
12.184,950.00,4.10,32.75,6
12.357,1000.00,4.05,33.03,7
12.277,1050.00,4.07,33.21,7
12.273,1100.00,4.07,32.43,7
12.462,1150.00,4.01,32.43,6
12.566,1200.00,3.98,32.79,7
12.423,1250.00,4.02,32.79,7
12.572,1300.00,3.98,32.58,7
12.533,1350.00,3.99,32.54,6
12.471,1400.00,4.01,32.46,7
12.997,1450.00,3.85,32.11,7
12.675,1500.00,3.94,32.46,7
12.594,1550.00,3.97,32.76,7
12.491,1600.00,4.00,32.94,7
12.710,1650.00,3.93,32.35,7
12.538,1700.00,3.99,32.57,6
12.356,1750.00,4.05,33.09,7
12.250,1800.00,4.08,33.03,7
12.137,1850.00,4.12,33.52,7
12.415,1900.00,4.03,33.33,7
12.277,1950.00,4.07,35.93,7
12.010,2000.00,4.16,36.40,7
