Logan V48.39
rawFileName=C:\MinimaxData\rover39892 2001251024.raw
From=0.0, To=8:11.3
Time,Dist,AvVel,AvStkRate,#Strokes
13.444,50.00,3.72,43.20,9
10.977,100.00,4.55,40.68,7
10.912,150.00,4.58,39.74,7
11.372,200.00,4.40,35.12,7
11.762,250.00,4.25,32.82,6
12.001,300.00,4.17,31.36,7
12.050,350.00,4.15,31.32,6
11.973,400.00,4.18,31.45,6
11.953,450.00,4.18,31.80,7
12.170,500.00,4.11,31.51,6
11.897,550.00,4.20,31.45,6
11.989,600.00,4.17,31.41,6
12.092,650.00,4.14,31.50,7
11.988,700.00,4.17,31.41,6
12.087,750.00,4.14,31.35,6
12.063,800.00,4.14,32.82,7
12.184,850.00,4.10,31.68,6
12.604,900.00,3.97,31.14,7
12.340,950.00,4.05,30.96,6
12.652,1000.00,3.95,31.14,7
12.112,1050.00,4.13,31.78,6
12.426,1100.00,4.02,31.86,7
12.268,1150.00,4.08,31.95,6
12.547,1200.00,3.99,32.23,7
12.799,1250.00,3.91,31.33,7
12.649,1300.00,3.95,31.19,6
13.104,1350.00,3.82,30.93,7
13.026,1400.00,3.84,30.85,7
12.765,1450.00,3.92,31.06,7
12.874,1500.00,3.88,31.22,6
12.486,1550.00,4.00,31.97,7
12.403,1600.00,4.03,32.88,7
12.266,1650.00,4.08,32.40,6
12.443,1700.00,4.02,32.67,7
12.465,1750.00,4.01,32.97,7
12.104,1800.00,4.13,33.40,7
12.383,1850.00,4.04,33.55,7
12.446,1900.00,4.02,33.87,7
12.501,1950.00,4.00,33.68,7
12.764,2000.00,3.92,33.18,7
