Logan V48.39
rawFileName=C:\MinimaxData\rover56807 2002071143.raw
From=0.0, To=7:07.5
Time,Dist,AvVel,AvStkRate,#Strokes
11.835,50.00,4.22,47.51,8
9.199,100.00,5.44,42.25,7
9.839,150.00,5.08,40.05,6
9.955,200.00,5.02,38.83,7
10.168,250.00,4.92,38.07,6
10.174,300.00,4.91,37.70,7
10.562,350.00,4.73,37.59,6
10.324,400.00,4.84,36.86,6
10.529,450.00,4.75,36.62,7
10.538,500.00,4.74,36.36,6
10.666,550.00,4.69,36.33,7
10.775,600.00,4.64,36.01,6
10.729,650.00,4.66,36.11,7
10.851,700.00,4.61,35.89,6
10.569,750.00,4.73,36.33,7
10.763,800.00,4.65,36.23,6
10.670,850.00,4.69,35.93,6
10.975,900.00,4.56,35.93,7
10.812,950.00,4.62,35.63,6
10.943,1000.00,4.57,35.75,7
10.735,1050.00,4.66,35.76,6
10.922,1100.00,4.58,35.40,7
11.008,1150.00,4.54,35.42,6
11.030,1200.00,4.53,35.57,7
10.741,1250.00,4.66,36.10,6
10.698,1300.00,4.67,37.27,7
10.522,1350.00,4.75,37.54,7
10.637,1400.00,4.70,37.50,6
10.462,1450.00,4.78,37.42,7
10.487,1500.00,4.77,36.86,6
10.376,1550.00,4.82,37.31,7
10.468,1600.00,4.78,37.59,6
10.537,1650.00,4.75,36.18,7
11.609,1700.00,4.31,29.63,5
12.161,1750.00,4.11,27.42,6
11.130,1800.00,4.49,31.28,6
10.885,1850.00,4.59,31.01,5
10.811,1900.00,4.62,32.57,6
10.324,1950.00,4.84,36.10,6
11.080,2000.00,4.51,30.99,6
