Logan V48.39
rawFileName=C:\MinimaxData\rover39892 2002071039.raw
From=0.0, To=6:58.2
Time,Dist,AvVel,AvStkRate,#Strokes
11.654,50.00,4.29,45.02,8
9.333,100.00,5.36,43.04,6
9.532,150.00,5.25,42.45,7
9.615,200.00,5.20,41.10,7
9.867,250.00,5.07,40.32,6
10.010,300.00,5.00,40.04,7
9.812,350.00,5.10,40.40,7
10.013,400.00,4.99,40.43,6
10.140,450.00,4.93,39.78,7
10.205,500.00,4.90,39.74,7
10.320,550.00,4.85,39.32,6
10.575,600.00,4.73,39.87,7
10.557,650.00,4.74,39.39,7
10.659,700.00,4.69,39.09,7
10.608,750.00,4.71,39.09,7
10.507,800.00,4.76,38.59,7
10.531,850.00,4.75,38.54,7
10.447,900.00,4.79,38.81,6
10.558,950.00,4.74,39.17,7
10.625,1000.00,4.71,39.09,7
10.654,1050.00,4.69,38.79,7
10.585,1100.00,4.72,38.38,7
10.488,1150.00,4.77,38.46,7
10.451,1200.00,4.78,38.81,6
10.506,1250.00,4.76,38.96,7
10.531,1300.00,4.75,39.05,7
10.543,1350.00,4.74,39.56,7
10.567,1400.00,4.73,39.56,7
10.459,1450.00,4.78,39.47,7
10.448,1500.00,4.79,39.74,7
10.384,1550.00,4.81,39.82,7
10.417,1600.00,4.80,40.45,7
10.504,1650.00,4.76,40.31,7
10.582,1700.00,4.73,41.10,7
10.579,1750.00,4.73,40.49,7
10.721,1800.00,4.66,40.77,7
10.925,1850.00,4.58,40.50,8
10.913,1900.00,4.58,40.49,7
10.941,1950.00,4.57,39.85,8
11.404,2000.00,4.38,37.08,6
