Logan V48.39
rawFileName=C:\MinimaxData\rover56666 2002071041.raw
From=0.0, To=7:13.7
Time,Dist,AvVel,AvStkRate,#Strokes
12.046,50.00,4.15,38.59,7
10.044,100.00,4.98,37.22,6
10.115,150.00,4.94,36.54,6
10.404,200.00,4.81,35.05,6
10.542,250.00,4.74,33.82,6
10.584,300.00,4.72,33.71,6
10.581,350.00,4.73,33.48,6
10.747,400.00,4.65,33.78,6
10.722,450.00,4.66,34.29,6
10.689,500.00,4.68,34.84,6
10.648,550.00,4.70,34.44,6
10.688,600.00,4.68,34.56,6
10.796,650.00,4.63,34.48,7
10.871,700.00,4.60,34.52,6
10.758,750.00,4.65,34.56,6
10.830,800.00,4.62,34.52,6
10.709,850.00,4.67,34.45,7
10.972,900.00,4.56,34.40,6
10.873,950.00,4.60,34.56,6
10.741,1000.00,4.66,34.64,6
10.778,1050.00,4.64,34.88,7
10.906,1100.00,4.58,35.01,6
10.783,1150.00,4.64,35.01,6
10.736,1200.00,4.66,34.76,6
10.734,1250.00,4.66,35.54,7
10.661,1300.00,4.69,35.59,6
10.582,1350.00,4.72,35.71,6
10.815,1400.00,4.62,35.47,7
10.766,1450.00,4.64,35.46,6
10.772,1500.00,4.64,35.71,6
11.443,1550.00,4.37,29.21,6
11.590,1600.00,4.31,28.20,5
11.763,1650.00,4.25,27.91,6
11.584,1700.00,4.32,27.15,5
11.463,1750.00,4.36,27.37,5
11.684,1800.00,4.28,27.88,6
11.583,1850.00,4.32,27.68,5
10.973,1900.00,4.56,28.99,6
9.959,1950.00,5.02,38.71,6
9.774,1999.94,5.11,39.11,6
