Logan V48.39
rawFileName=C:\MinimaxData\rover23823 2002071021.raw
From=0.0, To=8:10.6
Time,Dist,AvVel,AvStkRate,#Strokes
13.362,50.00,3.74,48.78,10
10.928,100.00,4.58,44.78,8
11.106,150.00,4.50,39.34,7
11.454,200.00,4.37,36.89,7
11.631,250.00,4.30,34.62,7
11.698,300.00,4.27,34.21,6
11.888,350.00,4.21,33.52,7
11.856,400.00,4.22,32.33,6
12.169,450.00,4.11,31.86,7
12.009,500.00,4.16,31.58,6
12.263,550.00,4.08,31.52,7
12.320,600.00,4.06,31.45,6
12.391,650.00,4.04,30.93,7
12.427,700.00,4.02,31.45,6
12.305,750.00,4.06,31.22,6
12.584,800.00,3.97,31.03,7
12.442,850.00,4.02,30.99,6
12.444,900.00,4.02,31.03,7
12.014,950.00,4.16,31.09,6
12.058,1000.00,4.15,31.22,6
12.294,1050.00,4.07,30.66,7
12.187,1100.00,4.10,31.25,6
11.903,1150.00,4.20,31.68,6
12.354,1200.00,4.05,32.09,7
12.142,1250.00,4.12,31.78,6
12.307,1300.00,4.06,31.63,7
12.316,1350.00,4.06,31.45,6
12.474,1400.00,4.01,31.20,7
12.740,1450.00,3.92,30.55,6
12.989,1500.00,3.85,29.93,7
12.766,1550.00,3.92,29.91,6
12.657,1600.00,3.95,30.52,6
12.521,1650.00,3.99,30.77,7
12.176,1700.00,4.11,30.74,6
12.398,1750.00,4.03,30.80,7
12.608,1800.00,3.97,30.96,6
12.376,1850.00,4.04,31.09,6
12.729,1900.00,3.93,30.43,7
12.612,1950.00,3.96,30.27,6
12.721,1999.95,3.93,28.87,6
