Logan V48.39
rawFileName=C:\MinimaxData\rover23808 2002071034.raw
From=0.0, To=7:54.8
Time,Dist,AvVel,AvStkRate,#Strokes
13.162,50.00,3.80,41.10,8
10.666,100.00,4.69,39.34,7
10.734,150.00,4.66,38.50,7
10.858,200.00,4.60,38.18,7
10.983,250.00,4.55,37.19,7
11.074,300.00,4.52,36.23,6
11.295,350.00,4.43,35.96,7
11.368,400.00,4.40,35.71,7
11.338,450.00,4.41,34.97,6
11.553,500.00,4.33,34.75,7
11.627,550.00,4.30,34.12,7
11.499,600.00,4.35,34.13,6
11.673,650.00,4.28,33.64,7
11.565,700.00,4.32,33.33,6
11.804,750.00,4.24,33.27,7
11.733,800.00,4.26,32.26,6
11.678,850.00,4.28,32.75,6
11.920,900.00,4.19,31.69,7
11.879,950.00,4.21,31.81,6
11.918,1000.00,4.20,31.55,6
12.022,1050.00,4.16,31.28,7
11.917,1100.00,4.20,30.93,6
11.907,1150.00,4.20,30.61,6
12.073,1200.00,4.14,30.33,6
11.973,1250.00,4.18,29.70,6
12.066,1300.00,4.14,29.70,6
12.045,1350.00,4.15,29.56,6
12.053,1400.00,4.15,29.30,6
12.166,1450.00,4.11,29.35,6
12.250,1500.00,4.08,29.53,6
12.363,1550.00,4.04,29.04,6
12.181,1600.00,4.10,28.54,5
12.351,1650.00,4.05,29.01,6
12.638,1700.00,3.96,29.56,7
12.646,1750.00,3.95,28.65,6
12.267,1800.00,4.08,27.68,5
12.489,1850.00,4.00,27.47,6
12.329,1900.00,4.06,27.10,6
12.252,1950.00,4.08,27.09,5
12.527,1999.96,3.99,26.98,6
