Logan V48.39
rawFileName=C:\MinimaxData\rover23817 2002080849.raw
From=0.0, To=7:14.6
Time,Dist,AvVel,AvStkRate,#Strokes
11.841,50.00,4.22,45.41,8
9.504,100.00,5.26,43.22,7
9.623,150.00,5.20,41.61,6
10.171,200.00,4.92,40.00,7
10.362,250.00,4.83,38.14,7
10.315,300.00,4.85,37.45,6
10.550,350.00,4.74,37.42,7
10.402,400.00,4.81,37.74,6
10.644,450.00,4.70,36.47,7
10.675,500.00,4.68,36.14,6
10.920,550.00,4.58,36.18,7
10.827,600.00,4.62,36.01,6
11.058,650.00,4.52,35.79,7
10.878,700.00,4.60,36.11,7
11.034,750.00,4.53,36.01,6
11.114,800.00,4.50,36.07,7
11.007,850.00,4.54,35.93,6
11.283,900.00,4.43,36.07,7
11.165,950.00,4.48,35.16,7
11.073,1000.00,4.52,35.42,6
11.147,1050.00,4.49,35.33,7
11.044,1100.00,4.53,34.97,6
11.199,1150.00,4.46,35.05,7
10.971,1200.00,4.56,35.38,6
11.208,1250.00,4.46,35.47,7
10.901,1300.00,4.59,35.50,6
11.160,1350.00,4.48,35.47,7
11.059,1400.00,4.52,35.57,7
11.111,1450.00,4.50,35.93,6
11.061,1500.00,4.52,36.25,7
10.861,1550.00,4.60,36.59,6
11.112,1600.00,4.50,36.36,7
11.036,1650.00,4.53,36.66,7
10.984,1700.00,4.55,36.77,7
10.763,1750.00,4.65,37.17,6
10.918,1800.00,4.58,37.15,7
10.885,1850.00,4.59,37.82,7
10.725,1900.00,4.66,38.05,7
11.002,1950.00,4.54,37.23,7
11.048,1999.95,4.52,36.90,6
