Logan V48.39
rawFileName=C:\MinimaxData\rover56775 2002080951.raw
From=0.0, To=6:41.0
Time,Dist,AvVel,AvStkRate,#Strokes
12.107,50.00,4.13,42.91,7
8.969,100.00,5.57,45.06,7
8.984,150.00,5.57,42.08,6
9.281,200.00,5.39,41.19,7
9.458,250.00,5.29,39.47,6
9.439,300.00,5.30,39.47,6
9.518,350.00,5.25,39.09,7
9.850,400.00,5.08,38.71,6
9.735,450.00,5.14,38.66,6
9.878,500.00,5.06,38.02,6
9.986,550.00,5.01,37.93,7
10.114,600.00,4.94,37.69,6
10.014,650.00,4.99,37.64,6
10.147,700.00,4.93,37.42,7
10.153,750.00,4.92,37.78,6
10.080,800.00,4.96,37.69,6
10.153,850.00,4.92,37.23,7
10.276,900.00,4.87,37.41,6
10.207,950.00,4.90,37.27,6
10.322,1000.00,4.84,37.08,7
10.294,1050.00,4.86,37.04,6
10.189,1100.00,4.91,36.76,6
10.379,1150.00,4.82,37.11,7
10.232,1200.00,4.89,37.08,6
10.272,1250.00,4.87,37.08,6
10.446,1300.00,4.79,37.19,7
10.170,1350.00,4.92,37.13,6
10.412,1400.00,4.80,37.58,7
10.226,1450.00,4.89,37.93,6
10.233,1500.00,4.89,38.10,7
10.079,1550.00,4.96,38.51,6
9.933,1600.00,5.03,38.92,7
9.953,1650.00,5.02,39.37,6
10.018,1700.00,4.99,39.30,7
9.948,1750.00,5.03,39.63,6
10.026,1800.00,4.99,39.60,7
9.821,1850.00,5.09,39.58,6
9.910,1900.00,5.05,40.82,7
9.884,1950.00,5.06,40.22,7
9.863,1999.94,5.06,39.68,6
