Logan V48.39
rawFileName=C:\MinimaxData\rover23823 2002080731.raw
From=0.0, To=8:03.2
Time,Dist,AvVel,AvStkRate,#Strokes
13.572,50.00,3.68,41.81,7
10.153,100.00,4.92,39.00,7
10.188,150.00,4.91,38.02,6
10.546,200.00,4.74,38.18,7
10.665,250.00,4.69,34.56,6
10.968,300.00,4.56,33.94,6
11.267,350.00,4.44,33.90,7
11.324,400.00,4.42,33.33,6
11.225,450.00,4.45,33.04,6
11.372,500.00,4.40,33.21,7
11.709,550.00,4.27,33.37,6
11.571,600.00,4.32,32.93,6
11.927,650.00,4.19,32.85,7
11.774,700.00,4.25,33.19,6
12.104,750.00,4.13,33.00,7
11.986,800.00,4.17,32.85,7
12.150,850.00,4.12,32.33,6
12.317,900.00,4.06,32.46,7
12.108,950.00,4.13,32.82,6
12.411,1000.00,4.03,33.00,7
12.467,1050.00,4.01,32.46,7
12.391,1100.00,4.04,32.43,7
12.466,1150.00,4.01,32.09,6
12.625,1200.00,3.96,32.35,7
12.488,1250.00,4.00,32.20,7
12.397,1300.00,4.03,32.23,7
12.562,1350.00,3.98,30.93,6
12.510,1400.00,4.00,30.49,6
12.746,1450.00,3.92,30.95,7
12.549,1500.00,3.98,31.35,6
12.732,1550.00,3.93,31.80,7
12.695,1600.00,3.94,31.86,7
12.718,1650.00,3.93,31.97,7
12.809,1700.00,3.90,31.89,7
12.734,1750.00,3.93,31.78,6
12.634,1800.00,3.96,32.67,7
12.538,1850.00,3.99,33.77,7
12.565,1900.00,3.98,33.93,7
12.429,1950.00,4.02,34.09,7
12.758,2000.00,3.92,34.48,8
