Logan V48.39
rawFileName=C:\MinimaxData\rover23841 2002080941.raw
From=0.0, To=7:40.2
Time,Dist,AvVel,AvStkRate,#Strokes
13.101,50.00,3.82,42.50,7
10.506,100.00,4.76,40.86,8
10.609,150.00,4.71,39.60,7
10.850,200.00,4.61,37.59,6
11.203,250.00,4.46,37.04,7
11.320,300.00,4.42,35.93,7
11.350,350.00,4.41,36.11,7
11.251,400.00,4.44,35.71,7
11.409,450.00,4.38,35.50,6
11.660,500.00,4.29,33.71,7
11.590,550.00,4.31,33.33,6
11.813,600.00,4.23,33.00,7
11.732,650.00,4.26,33.30,6
11.596,700.00,4.31,32.91,7
11.696,750.00,4.27,32.82,6
11.592,800.00,4.31,32.68,6
11.845,850.00,4.22,32.35,7
11.736,900.00,4.26,32.54,6
11.674,950.00,4.28,33.00,7
11.956,1000.00,4.18,32.57,6
11.776,1050.00,4.25,32.40,6
11.834,1100.00,4.23,32.67,7
11.672,1150.00,4.28,32.61,6
11.462,1200.00,4.36,32.89,6
11.774,1250.00,4.25,32.58,7
11.659,1300.00,4.29,32.89,6
11.559,1350.00,4.33,33.19,6
11.857,1400.00,4.22,32.97,7
11.498,1450.00,4.35,33.19,6
11.762,1500.00,4.25,33.46,7
11.457,1550.00,4.36,33.86,6
11.429,1600.00,4.37,34.38,7
11.405,1650.00,4.38,33.82,6
11.516,1700.00,4.34,34.95,7
11.426,1750.00,4.38,35.05,7
11.130,1800.00,4.49,36.10,6
11.291,1850.00,4.43,35.86,7
11.221,1900.00,4.46,36.59,7
11.182,1950.00,4.47,36.92,7
10.830,2000.00,4.62,37.55,6
