Logan V48.39
rawFileName=C:\MinimaxData\rover23779 2002080810.raw
From=0.0, To=7:56.1
Time,Dist,AvVel,AvStkRate,#Strokes
12.726,50.00,3.93,44.12,8
10.537,100.00,4.75,41.63,8
10.680,150.00,4.68,39.30,7
11.274,200.00,4.43,35.50,6
11.709,250.00,4.27,33.15,7
11.773,300.00,4.25,32.02,6
11.831,350.00,4.23,31.61,6
11.827,400.00,4.23,31.15,6
11.949,450.00,4.18,31.33,7
11.916,500.00,4.20,31.35,6
11.713,550.00,4.27,31.78,6
11.793,600.00,4.24,30.74,6
11.968,650.00,4.18,30.80,6
12.090,700.00,4.14,30.90,7
12.134,750.00,4.12,31.61,6
11.855,800.00,4.22,32.19,6
12.048,850.00,4.15,31.14,7
12.252,900.00,4.08,30.77,6
12.116,950.00,4.13,30.90,6
11.867,1000.00,4.21,31.71,6
11.919,1050.00,4.20,32.37,7
11.834,1100.00,4.23,32.50,6
11.711,1150.00,4.27,32.55,7
12.282,1200.00,4.07,31.12,6
12.170,1250.00,4.11,31.68,6
11.995,1300.00,4.17,32.73,7
11.934,1350.00,4.19,32.89,6
12.154,1400.00,4.11,31.94,7
12.136,1450.00,4.12,31.98,6
12.438,1500.00,4.02,31.58,7
11.903,1550.00,4.20,32.33,6
11.953,1600.00,4.18,32.64,7
11.883,1650.00,4.21,32.54,6
11.923,1700.00,4.19,32.91,7
11.993,1750.00,4.17,32.89,6
11.849,1800.00,4.22,33.83,7
11.865,1850.00,4.21,34.06,7
12.002,1900.00,4.17,33.98,6
11.884,1950.00,4.21,34.75,7
12.184,1999.97,4.10,36.11,8
