Logan V48.39
rawFileName=C:\MinimaxData\rover39892 2002090829.raw
From=0.0, To=7:01.9
Time,Dist,AvVel,AvStkRate,#Strokes
12.578,50.00,3.98,41.58,8
9.444,100.00,5.29,41.38,6
9.591,150.00,5.21,39.95,6
9.881,200.00,5.06,39.05,7
9.881,250.00,5.06,39.53,6
10.264,300.00,4.87,38.67,7
10.119,350.00,4.94,38.27,6
10.446,400.00,4.79,37.74,7
10.371,450.00,4.82,37.89,7
10.448,500.00,4.79,37.74,6
10.668,550.00,4.69,37.62,7
10.418,600.00,4.80,37.93,6
10.620,650.00,4.71,37.50,7
10.686,700.00,4.68,37.23,7
10.709,750.00,4.67,37.27,6
10.749,800.00,4.65,37.34,7
10.810,850.00,4.63,36.85,7
10.724,900.00,4.66,36.63,6
10.867,950.00,4.60,36.77,7
10.838,1000.00,4.61,36.70,7
10.680,1050.00,4.68,37.31,6
10.416,1100.00,4.80,37.19,7
10.689,1150.00,4.68,36.90,6
10.948,1200.00,4.57,36.70,7
10.654,1250.00,4.69,36.72,6
10.710,1300.00,4.67,37.27,7
10.663,1350.00,4.69,38.05,7
10.742,1400.00,4.65,37.82,7
10.608,1450.00,4.71,37.59,6
10.794,1500.00,4.63,37.50,7
10.630,1550.00,4.70,37.58,7
10.630,1600.00,4.70,38.12,6
10.733,1650.00,4.66,38.30,7
10.575,1700.00,4.73,38.10,7
10.295,1750.00,4.86,38.59,7
10.317,1800.00,4.85,39.16,6
10.604,1850.00,4.72,38.83,7
10.455,1900.00,4.78,39.05,7
10.327,1950.00,4.84,39.39,7
10.310,1999.97,4.85,39.91,7
