Logan V48.29
rawFileName=C:\MinimaxData\rover39787 1902161628.raw
From=0.0, To=7:16.5
Time,Dist,AvVel,AvStkRate,#Strokes
12.371,50.00,4.04,42.77,8
9.858,100.00,5.07,41.76,7
9.960,150.00,5.02,40.11,6
10.221,200.00,4.89,39.22,7
10.259,250.00,4.87,39.34,7
10.261,300.00,4.87,38.17,6
10.534,350.00,4.75,37.50,7
10.539,400.00,4.74,36.86,6
10.830,450.00,4.62,36.59,7
10.802,500.00,4.63,36.36,7
10.798,550.00,4.63,36.72,6
10.992,600.00,4.55,36.40,7
10.936,650.00,4.57,35.93,6
11.094,700.00,4.51,36.07,7
11.047,750.00,4.53,36.11,7
11.021,800.00,4.54,35.29,6
10.904,850.00,4.59,35.09,7
10.932,900.00,4.57,35.25,6
10.867,950.00,4.60,34.92,6
11.078,1000.00,4.51,34.92,7
11.119,1050.00,4.50,34.76,6
11.019,1100.00,4.54,34.75,7
11.105,1150.00,4.50,34.76,6
11.043,1200.00,4.53,34.60,6
11.232,1250.00,4.45,34.52,7
11.177,1300.00,4.47,34.52,6
11.181,1350.00,4.47,34.65,7
11.119,1400.00,4.50,34.44,6
11.067,1450.00,4.52,34.44,6
11.356,1500.00,4.40,34.45,7
11.112,1550.00,4.50,34.36,6
11.252,1600.00,4.44,34.32,7
11.072,1650.00,4.52,34.32,6
10.999,1700.00,4.55,34.36,6
11.212,1750.00,4.46,34.72,7
10.817,1800.00,4.62,35.42,6
10.845,1850.00,4.61,35.96,7
10.808,1900.00,4.63,35.97,6
10.832,1950.00,4.62,35.75,7
10.881,2000.00,4.60,35.50,6
