Logan V48.39
rawFileName=C:\MinimaxData\rowing\2018-19 rowing season\2019.02.15-17 nsw state champs\rover23823 1902160929.raw
From=0.0, To=7:41.1
Time,Dist,AvVel,AvStkRate,#Strokes
12.911,50.00,3.87,46.42,9
10.432,100.00,4.79,43.32,7
10.791,150.00,4.63,42.04,8
10.787,200.00,4.64,40.96,7
10.852,250.00,4.61,39.69,7
11.060,300.00,4.52,38.57,8
11.158,350.00,4.48,37.85,7
11.202,400.00,4.46,37.62,7
11.298,450.00,4.43,36.66,7
11.678,500.00,4.28,37.11,7
11.880,550.00,4.21,36.25,7
11.696,600.00,4.27,35.96,7
11.865,650.00,4.21,35.64,7
11.962,700.00,4.18,36.62,7
12.030,750.00,4.16,34.58,7
11.959,800.00,4.18,35.05,7
11.880,850.00,4.21,34.65,7
11.483,900.00,4.35,34.92,7
11.400,950.00,4.39,34.64,6
11.680,1000.00,4.28,34.88,7
11.637,1050.00,4.30,35.12,7
11.719,1100.00,4.27,35.16,7
11.654,1150.00,4.29,34.38,7
11.699,1200.00,4.27,35.17,6
11.801,1250.00,4.24,35.68,7
11.778,1300.00,4.25,35.57,7
11.709,1350.00,4.27,35.33,7
11.576,1400.00,4.32,34.92,7
11.601,1450.00,4.31,34.99,7
11.696,1500.00,4.27,35.54,7
11.637,1550.00,4.30,36.59,7
11.526,1600.00,4.34,36.29,7
11.226,1650.00,4.45,36.66,7
11.169,1700.00,4.48,37.04,6
11.454,1750.00,4.37,37.33,8
11.425,1800.00,4.38,39.13,7
11.240,1850.00,4.45,39.65,7
11.548,1900.00,4.33,39.59,8
11.404,1950.00,4.38,39.59,8
11.588,2000.00,4.31,38.46,7
