Logan V48.39
rawFileName=C:\MinimaxData\rowing\2018-19 rowing season\2019.02.15-17 nsw state champs\rover56667 1902160930.raw
From=0.0, To=7:44.4
Time,Dist,AvVel,AvStkRate,#Strokes
12.964,50.00,3.86,43.43,8
10.513,100.00,4.76,42.13,8
10.838,150.00,4.61,40.09,7
10.904,200.00,4.59,39.34,7
10.982,250.00,4.55,38.83,7
10.997,300.00,4.55,37.62,7
11.140,350.00,4.49,37.27,7
11.198,400.00,4.47,36.96,7
11.358,450.00,4.40,36.04,7
11.759,500.00,4.25,35.75,7
11.680,550.00,4.28,34.72,6
11.810,600.00,4.23,34.72,7
11.989,650.00,4.17,34.52,7
12.220,700.00,4.09,34.55,7
12.048,750.00,4.15,34.35,7
11.954,800.00,4.18,34.29,7
11.734,850.00,4.26,34.22,7
11.625,900.00,4.30,33.94,6
11.705,950.00,4.27,33.83,7
11.650,1000.00,4.29,33.90,6
11.754,1050.00,4.25,34.09,7
11.682,1100.00,4.28,33.93,7
11.662,1150.00,4.29,33.67,6
11.711,1200.00,4.27,33.74,7
11.747,1250.00,4.26,33.67,6
12.011,1300.00,4.16,33.40,7
11.653,1350.00,4.29,33.19,6
11.754,1400.00,4.25,33.83,7
11.669,1450.00,4.28,33.61,7
11.684,1500.00,4.28,33.86,6
11.832,1550.00,4.23,33.93,7
11.407,1600.00,4.38,34.25,6
11.540,1650.00,4.33,34.62,7
11.470,1700.00,4.36,34.82,7
11.514,1750.00,4.34,34.88,7
11.653,1800.00,4.29,35.05,6
11.719,1850.00,4.27,35.33,7
11.707,1900.00,4.27,35.86,7
11.640,1950.00,4.30,36.44,7
11.494,2000.00,4.35,36.00,7
