Logan V48.39
rawFileName=C:\MinimaxData\rowing\2018-19 rowing season\2019.02.15-17 nsw state champs\rover39922 1902170822.raw
From=0.0, To=7:27.9
Time,Dist,AvVel,AvStkRate,#Strokes
14.000,50.00,3.57,34.99,7
10.493,100.00,4.77,34.68,6
10.249,150.00,4.88,35.38,6
10.188,200.00,4.91,35.38,6
10.376,250.00,4.82,34.48,6
10.761,300.00,4.65,33.04,6
11.026,350.00,4.53,32.93,6
11.117,400.00,4.50,31.41,6
11.116,450.00,4.50,31.22,6
11.145,500.00,4.49,30.61,6
11.367,550.00,4.40,30.81,5
11.165,600.00,4.48,31.58,6
11.396,650.00,4.39,31.32,6
11.296,700.00,4.43,31.06,6
11.302,750.00,4.42,31.22,6
11.238,800.00,4.45,31.15,6
11.296,850.00,4.43,31.61,6
11.307,900.00,4.42,31.68,6
11.300,950.00,4.42,31.61,6
11.478,1000.00,4.36,31.78,6
11.602,1050.00,4.31,31.88,6
11.482,1100.00,4.35,31.58,6
11.302,1150.00,4.42,31.91,6
11.395,1200.00,4.39,31.45,6
11.337,1250.00,4.41,31.85,6
11.718,1300.00,4.27,30.99,6
11.872,1350.00,4.21,30.83,6
11.456,1400.00,4.36,31.51,6
11.371,1450.00,4.40,32.43,6
11.471,1500.00,4.36,31.98,6
11.052,1550.00,4.52,32.40,6
10.848,1600.00,4.61,33.44,6
10.717,1650.00,4.67,33.94,6
10.695,1700.00,4.68,34.09,6
10.882,1750.00,4.59,34.62,7
11.044,1800.00,4.53,34.21,6
10.948,1850.00,4.57,33.71,6
10.942,1900.00,4.57,33.78,6
10.940,1950.00,4.57,33.41,6
11.159,2000.00,4.48,32.85,7
