Logan V48.39
rawFileName=C:\MinimaxData\rowing\2018-19 rowing season\2019.02.15-17 nsw state champs\rover56666 1902170847.raw
From=0.0, To=7:33.3
Time,Dist,AvVel,AvStkRate,#Strokes
12.664,50.00,3.95,42.64,8
9.888,100.00,5.06,41.91,7
10.092,150.00,4.95,41.00,7
10.087,200.00,4.96,40.43,6
10.329,250.00,4.84,39.56,7
10.592,300.00,4.72,38.59,7
10.706,350.00,4.67,38.01,7
10.820,400.00,4.62,37.34,7
10.832,450.00,4.62,37.31,6
11.023,500.00,4.54,36.81,7
11.217,550.00,4.46,37.00,7
11.261,600.00,4.44,35.89,7
11.190,650.00,4.47,35.76,6
11.347,700.00,4.41,35.75,7
11.381,750.00,4.39,35.54,7
11.263,800.00,4.44,35.50,7
11.504,850.00,4.35,35.38,6
11.571,900.00,4.32,35.47,7
11.521,950.00,4.34,35.33,7
11.452,1000.00,4.37,35.40,7
11.634,1050.00,4.30,35.29,7
11.661,1100.00,4.29,34.97,6
11.796,1150.00,4.24,34.88,7
11.707,1200.00,4.27,34.99,7
11.802,1250.00,4.24,34.68,7
11.747,1300.00,4.26,34.75,7
11.705,1350.00,4.27,34.65,7
11.792,1400.00,4.24,34.32,6
11.898,1450.00,4.20,34.48,7
11.716,1500.00,4.27,34.19,7
11.488,1550.00,4.35,34.44,6
11.794,1600.00,4.24,34.48,7
11.753,1650.00,4.25,34.19,7
11.567,1700.00,4.32,34.55,7
11.608,1750.00,4.31,34.84,6
11.517,1800.00,4.34,35.50,7
11.337,1850.00,4.41,35.47,7
11.140,1900.00,4.49,35.63,6
11.457,1950.00,4.36,35.47,7
11.402,2000.00,4.39,35.75,7
