Logan V48.29
rawFileName=C:\MinimaxData\rover39892 1903251315.raw
From=0.0, To=8:11.4
Time,Dist,AvVel,AvStkRate,#Strokes
13.124,50.00,3.81,44.12,9
10.984,100.00,4.55,41.91,7
11.216,150.00,4.46,40.70,8
11.286,200.00,4.43,39.22,7
11.669,250.00,4.29,37.37,8
11.949,300.00,4.18,36.70,7
11.859,350.00,4.22,35.71,7
11.913,400.00,4.20,35.82,7
11.999,450.00,4.17,34.42,7
12.024,500.00,4.16,34.42,7
12.043,550.00,4.15,33.99,7
11.956,600.00,4.18,34.13,6
12.363,650.00,4.04,34.29,8
12.298,700.00,4.07,33.59,6
12.487,750.00,4.00,33.43,7
12.579,800.00,3.97,33.43,7
12.558,850.00,3.98,32.79,7
12.534,900.00,3.99,32.61,7
12.528,950.00,3.99,32.35,7
12.446,1000.00,4.02,31.81,6
12.716,1050.00,3.93,31.75,7
12.631,1100.00,3.96,31.22,7
12.473,1150.00,4.01,31.25,6
12.520,1200.00,3.99,31.80,7
12.239,1250.00,4.09,31.61,6
12.492,1300.00,4.00,31.41,7
12.439,1350.00,4.02,31.51,6
12.544,1400.00,3.99,31.36,7
12.418,1450.00,4.03,30.58,6
12.701,1500.00,3.94,31.17,7
12.346,1550.00,4.05,31.02,6
12.397,1600.00,4.03,31.72,7
12.222,1650.00,4.09,31.81,6
12.575,1700.00,3.98,31.50,7
12.380,1750.00,4.04,31.15,6
12.566,1800.00,3.98,30.93,7
12.496,1850.00,4.00,31.02,6
12.588,1900.00,3.97,31.17,7
12.393,1950.00,4.03,30.83,6
12.459,2000.00,4.01,30.33,6
