Logan V48.29
rawFileName=C:\MinimaxData\rover39922 1903251333.raw
From=0.0, To=7:54.9
Time,Dist,AvVel,AvStkRate,#Strokes
12.909,50.00,3.87,43.06,7
10.281,100.00,4.86,42.01,7
10.383,150.00,4.82,41.10,7
10.676,200.00,4.68,39.78,7
10.858,250.00,4.61,39.39,7
11.201,300.00,4.46,37.74,7
11.251,350.00,4.44,37.70,7
11.448,400.00,4.37,37.17,8
11.571,450.00,4.32,36.70,7
11.600,500.00,4.31,36.70,7
11.443,550.00,4.37,36.66,7
11.731,600.00,4.26,36.66,7
11.852,650.00,4.22,36.33,7
11.849,700.00,4.22,36.36,7
11.909,750.00,4.20,36.00,7
11.984,800.00,4.17,35.96,8
12.078,850.00,4.14,36.07,7
12.058,900.00,4.15,35.68,7
12.099,950.00,4.13,35.12,7
12.192,1000.00,4.10,35.12,7
11.924,1050.00,4.19,35.47,7
12.080,1100.00,4.14,35.40,7
12.158,1150.00,4.11,35.32,8
12.058,1200.00,4.15,34.78,7
12.230,1250.00,4.09,34.85,7
12.143,1300.00,4.12,34.92,7
12.193,1350.00,4.10,34.58,7
12.190,1400.00,4.10,34.48,7
12.184,1450.00,4.10,34.38,7
12.319,1500.00,4.06,34.35,7
12.060,1550.00,4.15,34.65,7
11.991,1600.00,4.17,35.02,7
12.412,1650.00,4.03,34.09,7
12.597,1700.00,3.97,33.71,7
12.683,1750.00,3.94,33.58,7
12.593,1800.00,3.97,33.49,7
12.320,1850.00,4.06,34.42,7
12.101,1900.00,4.13,34.75,7
11.641,1950.00,4.29,36.40,7
11.668,2000.00,4.29,37.00,7
