Logan V48.29
rawFileName=C:\MinimaxData\rover23823 1903251051.raw
From=0.0, To=6:40.1
Time,Dist,AvVel,AvStkRate,#Strokes
12.006,50.00,4.16,43.74,7
8.889,100.00,5.63,44.83,7
8.883,150.00,5.63,42.25,6
9.133,200.00,5.47,40.38,6
9.450,250.00,5.29,39.39,7
9.567,300.00,5.23,39.11,6
9.544,350.00,5.24,38.12,6
9.699,400.00,5.16,38.02,6
9.706,450.00,5.15,37.69,6
9.742,500.00,5.13,37.36,6
9.738,550.00,5.13,37.50,6
9.767,600.00,5.12,37.45,6
9.825,650.00,5.09,36.99,6
10.028,700.00,4.99,36.77,7
10.007,750.00,5.00,36.99,6
10.032,800.00,4.98,36.95,6
10.058,850.00,4.97,36.99,6
10.016,900.00,4.99,36.59,6
10.018,950.00,4.99,36.81,6
9.971,1000.00,5.01,36.54,6
10.011,1050.00,4.99,36.89,7
10.147,1100.00,4.93,36.50,6
10.182,1150.00,4.91,36.32,6
10.129,1200.00,4.94,36.32,6
10.118,1250.00,4.94,36.36,6
10.102,1300.00,4.95,36.45,6
10.100,1350.00,4.95,36.14,6
10.202,1400.00,4.90,36.47,7
10.188,1450.00,4.91,36.59,6
10.131,1500.00,4.94,36.50,6
10.185,1550.00,4.91,36.59,6
10.064,1600.00,4.97,36.76,6
10.291,1650.00,4.86,36.66,7
10.315,1700.00,4.85,36.50,6
10.271,1750.00,4.87,36.63,6
10.205,1800.00,4.90,37.46,7
10.301,1850.00,4.85,37.50,6
10.163,1900.00,4.92,37.36,6
10.414,1950.00,4.80,37.34,7
10.481,2000.00,4.77,36.19,6
