Logan V48.29
rawFileName=C:\MinimaxData\rover56667 1903251011.raw
From=0.0, To=8:06.4
Time,Dist,AvVel,AvStkRate,#Strokes
12.742,50.00,3.92,42.99,8
10.375,100.00,4.82,39.05,7
10.675,150.00,4.68,37.04,6
10.939,200.00,4.57,35.54,7
11.138,250.00,4.49,34.29,6
11.316,300.00,4.42,33.08,6
11.700,350.00,4.27,31.63,7
11.878,400.00,4.21,30.86,6
12.043,450.00,4.15,29.15,6
12.254,500.00,4.08,27.94,5
12.388,550.00,4.04,26.55,6
12.510,600.00,4.00,26.34,5
12.642,650.00,3.95,26.79,6
12.453,700.00,4.02,27.30,6
12.404,750.00,4.03,27.43,5
12.406,800.00,4.03,26.71,6
12.398,850.00,4.03,26.70,5
12.495,900.00,4.00,26.20,6
12.402,950.00,4.03,26.17,5
12.314,1000.00,4.06,26.12,5
12.598,1050.00,3.97,25.30,6
12.497,1100.00,4.00,25.81,5
12.136,1150.00,4.12,26.76,6
12.391,1200.00,4.04,26.43,5
12.064,1250.00,4.14,26.76,5
12.187,1300.00,4.10,27.03,6
12.032,1350.00,4.16,26.73,5
12.195,1400.00,4.10,27.05,6
12.146,1450.00,4.12,26.73,5
12.169,1500.00,4.11,26.11,6
12.484,1550.00,4.01,26.52,5
12.219,1600.00,4.09,26.06,5
12.250,1650.00,4.08,25.40,5
12.531,1700.00,3.99,24.86,6
12.410,1750.00,4.03,24.19,5
12.495,1800.00,4.00,24.05,5
12.392,1850.00,4.03,24.62,5
12.496,1900.00,4.00,23.51,5
12.480,1950.00,4.01,23.23,4
12.706,2000.00,3.94,22.84,5
