Logan V48.29
rawFileName=C:\MinimaxData\rover56666 1903250956.raw
From=0.0, To=7:37.7
Time,Dist,AvVel,AvStkRate,#Strokes
12.947,50.00,3.86,41.06,8
10.061,100.00,4.97,40.40,7
10.193,150.00,4.91,39.95,6
10.481,200.00,4.77,39.52,7
10.708,250.00,4.67,37.58,7
10.801,300.00,4.63,36.14,6
11.070,350.00,4.52,36.11,7
11.153,400.00,4.48,35.71,7
11.027,450.00,4.53,35.71,6
11.347,500.00,4.41,35.82,7
11.345,550.00,4.41,35.57,7
11.155,600.00,4.48,35.13,6
11.431,650.00,4.37,35.23,7
11.330,700.00,4.41,35.29,7
11.371,750.00,4.40,35.21,6
11.576,800.00,4.32,34.99,7
11.591,850.00,4.31,34.75,7
11.426,900.00,4.38,34.92,6
11.607,950.00,4.31,34.99,7
11.673,1000.00,4.28,34.82,7
11.652,1050.00,4.29,34.78,7
11.452,1100.00,4.37,34.72,6
11.569,1150.00,4.32,34.95,7
11.633,1200.00,4.30,34.92,7
11.463,1250.00,4.36,35.05,7
11.474,1300.00,4.36,34.76,6
11.597,1350.00,4.31,34.72,7
11.517,1400.00,4.34,34.48,7
11.579,1450.00,4.32,34.32,6
11.641,1500.00,4.30,34.52,7
11.578,1550.00,4.32,33.94,6
11.887,1600.00,4.21,32.97,7
11.680,1650.00,4.28,33.40,7
11.826,1700.00,4.23,33.63,6
11.723,1750.00,4.27,32.94,7
11.917,1800.00,4.20,32.50,6
11.741,1850.00,4.26,33.12,7
11.945,1900.00,4.19,32.93,6
11.707,1950.00,4.27,33.09,7
11.817,2000.00,4.23,33.37,6
