Logan V48.29
rawFileName=C:\MinimaxData\rover39922 1903261518.raw
From=0.0, To=6:40.7
Time,Dist,AvVel,AvStkRate,#Strokes
17.202,50.00,2.91,19.57,4
11.381,100.00,4.39,20.48,4
11.181,150.00,4.47,20.69,4
11.204,200.00,4.46,20.67,4
11.175,250.00,4.47,20.25,4
11.287,300.00,4.43,20.91,3
11.188,350.00,4.47,20.83,4
10.920,400.00,4.58,24.44,5
10.084,450.00,4.96,26.35,4
9.932,500.00,5.03,28.71,5
9.674,550.00,5.17,30.85,5
11.433,600.00,4.37,23.32,4
15.559,650.00,3.21,19.48,5
15.993,700.00,3.13,18.26,5
12.312,750.00,4.06,20.85,5
11.344,800.00,4.41,21.38,4
10.717,850.00,4.67,24.29,4
9.947,900.00,5.03,27.97,5
9.681,950.00,5.16,29.56,4
9.546,1000.00,5.24,30.65,5
9.930,1050.00,5.04,27.71,5
14.133,1100.00,3.54,20.83,5
15.117,1150.00,3.31,19.87,5
12.337,1200.00,4.05,20.16,4
11.465,1250.00,4.36,20.71,4
11.274,1300.00,4.43,21.03,4
11.294,1350.00,4.43,20.93,4
11.288,1400.00,4.43,21.15,4
11.260,1450.00,4.44,21.48,4
11.103,1500.00,4.50,21.84,4
10.320,1550.00,4.84,29.52,5
9.287,1600.00,5.38,33.90,5
9.154,1650.00,5.46,33.85,5
9.120,1700.00,5.48,34.38,5
11.826,1750.00,4.23,23.93,5
