Logan V48.29
rawFileName=C:\MinimaxData\rover23841 1903280938.raw
From=0.0, To=7:36.9
Time,Dist,AvVel,AvStkRate,#Strokes
13.055,50.00,3.83,42.04,8
10.660,100.00,4.69,40.00,7
10.706,150.00,4.67,39.65,7
10.875,200.00,4.60,38.46,7
10.969,250.00,4.56,37.70,7
11.057,300.00,4.52,36.70,7
10.975,350.00,4.56,36.06,6
11.283,400.00,4.43,35.54,7
11.081,450.00,4.51,34.72,6
11.317,500.00,4.42,34.58,7
11.161,550.00,4.48,34.44,6
11.506,600.00,4.35,33.87,7
11.370,650.00,4.40,33.98,6
11.724,700.00,4.26,34.29,7
11.696,750.00,4.28,33.68,7
11.683,800.00,4.28,33.37,6
11.546,850.00,4.33,33.71,7
11.610,900.00,4.31,33.19,6
11.525,950.00,4.34,32.57,6
11.613,1000.00,4.31,32.94,7
11.550,1050.00,4.33,32.79,6
11.370,1100.00,4.40,32.75,6
11.593,1150.00,4.31,33.12,7
11.601,1200.00,4.31,32.86,6
11.568,1250.00,4.32,32.72,6
11.663,1300.00,4.29,32.70,7
11.641,1350.00,4.30,32.19,6
11.539,1400.00,4.33,32.26,6
11.580,1450.00,4.32,32.29,6
11.799,1500.00,4.24,32.70,7
11.764,1550.00,4.25,32.75,6
11.739,1600.00,4.26,32.88,7
11.771,1650.00,4.25,32.57,6
11.446,1700.00,4.37,33.78,6
11.505,1750.00,4.35,34.52,7
11.254,1800.00,4.44,34.95,7
11.157,1850.00,4.48,35.89,6
11.049,1900.00,4.53,36.81,7
10.919,1950.00,4.58,37.85,7
10.952,1999.96,4.56,37.42,7
