Logan V48.29
rawFileName=C:\MinimaxData\rover23779 1903280929.raw
From=0.0, To=7:25.9
Time,Dist,AvVel,AvStkRate,#Strokes
12.204,50.00,4.10,43.48,9
9.716,100.00,5.15,43.43,7
9.873,150.00,5.06,42.15,7
10.159,200.00,4.92,40.68,7
10.404,250.00,4.81,37.41,6
10.849,300.00,4.61,35.64,7
10.835,350.00,4.61,34.64,6
10.872,400.00,4.60,34.68,6
11.159,450.00,4.48,34.92,7
11.057,500.00,4.52,34.60,6
11.235,550.00,4.45,34.32,7
11.304,600.00,4.42,34.05,6
11.235,650.00,4.45,34.35,7
11.270,700.00,4.44,34.17,6
11.206,750.00,4.46,33.56,6
11.247,800.00,4.45,33.90,7
11.155,850.00,4.48,33.67,6
11.157,900.00,4.48,33.48,6
11.163,950.00,4.48,33.52,6
11.401,1000.00,4.39,33.87,7
11.219,1050.00,4.46,33.71,6
11.153,1100.00,4.48,33.82,6
11.385,1150.00,4.39,33.24,7
11.276,1200.00,4.43,33.86,6
11.209,1250.00,4.46,34.45,7
11.319,1300.00,4.42,34.64,6
11.261,1350.00,4.44,34.82,7
11.325,1400.00,4.41,35.17,6
11.537,1450.00,4.33,34.75,7
11.380,1500.00,4.39,35.29,7
11.306,1550.00,4.42,35.13,6
11.465,1600.00,4.36,35.40,7
11.429,1650.00,4.37,35.61,7
11.513,1700.00,4.34,35.86,7
11.567,1750.00,4.32,36.59,7
11.301,1800.00,4.42,37.46,7
11.248,1850.00,4.45,38.46,7
11.104,1900.00,4.50,38.22,7
11.148,1950.00,4.49,38.42,7
11.225,1999.97,4.45,39.55,8
