Logan V48.29
rawFileName=C:\MinimaxData\rover39886 1903301105.raw
From=0.0, To=7:38.4
Time,Dist,AvVel,AvStkRate,#Strokes
14.041,50.00,3.56,35.89,7
10.278,100.00,4.86,35.75,7
10.361,150.00,4.83,34.14,5
10.671,200.00,4.69,33.04,6
10.902,250.00,4.59,32.05,6
11.180,300.00,4.47,31.75,6
11.317,350.00,4.42,31.12,6
11.188,400.00,4.47,30.36,6
11.306,450.00,4.42,31.06,6
11.463,500.00,4.36,30.50,5
11.294,550.00,4.43,31.98,6
11.334,600.00,4.41,31.09,6
11.192,650.00,4.47,30.83,6
11.401,700.00,4.39,31.09,6
11.714,750.00,4.27,30.55,6
11.510,800.00,4.34,30.52,6
11.522,850.00,4.34,30.69,5
11.749,900.00,4.26,30.27,6
11.686,950.00,4.28,30.49,6
11.578,1000.00,4.32,30.46,6
11.552,1050.00,4.33,30.33,6
11.422,1100.00,4.38,30.36,6
11.511,1150.00,4.34,30.58,6
11.491,1200.00,4.35,30.30,5
11.663,1250.00,4.29,30.74,6
11.429,1300.00,4.37,30.83,6
11.595,1350.00,4.31,30.36,6
11.585,1400.00,4.32,30.00,6
11.654,1450.00,4.29,29.94,6
11.732,1500.00,4.26,29.93,5
11.542,1550.00,4.33,30.18,6
11.652,1600.00,4.29,30.43,6
11.569,1650.00,4.32,30.77,6
11.575,1700.00,4.32,30.86,6
11.607,1750.00,4.31,30.24,6
11.624,1800.00,4.30,31.32,6
11.527,1850.00,4.34,30.96,6
11.493,1900.00,4.35,31.32,6
11.309,1950.00,4.42,32.09,6
11.171,2000.00,4.48,31.85,6
