Logan V48.29
rawFileName=C:\MinimaxData\rover39787 1903311251.raw
From=0.0, To=7:38.1
Time,Dist,AvVel,AvStkRate,#Strokes
12.391,50.00,4.04,44.82,8
10.318,100.00,4.85,46.88,8
10.269,150.00,4.87,40.00,7
10.249,200.00,4.88,39.26,7
10.543,250.00,4.74,37.08,6
10.541,300.00,4.74,36.81,7
10.875,350.00,4.60,36.54,6
10.676,400.00,4.68,35.93,7
10.720,450.00,4.66,36.36,6
10.720,500.00,4.66,35.57,7
10.567,550.00,4.73,35.55,6
10.749,600.00,4.65,35.25,6
10.911,650.00,4.58,35.38,6
11.256,700.00,4.44,34.52,7
11.125,750.00,4.49,34.05,6
11.346,800.00,4.41,34.55,7
11.123,850.00,4.50,34.44,6
11.071,900.00,4.52,34.58,7
11.232,950.00,4.45,34.56,6
11.807,1000.00,4.23,33.96,7
11.856,1050.00,4.22,34.05,6
11.856,1100.00,4.22,33.93,7
12.019,1150.00,4.16,34.03,7
11.946,1200.00,4.19,33.15,7
11.894,1250.00,4.20,33.33,6
12.149,1300.00,4.12,33.71,7
12.204,1350.00,4.10,33.43,7
12.381,1400.00,4.04,32.79,7
12.265,1450.00,4.08,33.19,6
12.414,1500.00,4.03,32.79,7
12.063,1550.00,4.14,33.12,7
11.831,1600.00,4.23,34.05,6
12.248,1650.00,4.08,33.46,7
12.233,1700.00,4.09,33.96,7
11.915,1750.00,4.20,34.35,7
12.141,1800.00,4.12,34.75,7
11.625,1850.00,4.30,36.51,7
11.551,1900.00,4.33,37.50,7
11.453,1950.00,4.37,37.27,7
11.562,1999.96,4.32,37.54,7
