Logan V48.39
rawFileName=C:\MinimaxData\rover39922 2001250749.raw
From=0.0, To=7:14.3
Time,Dist,AvVel,AvStkRate,#Strokes
12.270,50.00,4.07,42.94,8
9.943,100.00,5.03,40.21,6
10.461,150.00,4.78,38.01,7
10.409,200.00,4.80,36.59,6
10.666,250.00,4.69,35.02,7
10.844,300.00,4.61,34.44,6
10.951,350.00,4.57,33.48,6
10.975,400.00,4.56,34.60,6
10.916,450.00,4.58,34.17,6
11.115,500.00,4.50,34.35,7
10.657,550.00,4.69,35.63,6
10.502,600.00,4.76,35.55,6
10.575,650.00,4.73,35.02,7
10.694,700.00,4.68,35.93,6
10.672,750.00,4.69,35.25,6
10.772,800.00,4.64,35.86,7
10.758,850.00,4.65,35.21,6
10.710,900.00,4.67,35.25,6
10.893,950.00,4.59,35.86,7
10.860,1000.00,4.60,35.55,6
10.880,1050.00,4.60,36.04,7
10.975,1100.00,4.56,35.71,6
11.027,1150.00,4.53,35.64,7
10.945,1200.00,4.57,35.80,6
11.123,1250.00,4.50,36.07,7
10.625,1300.00,4.71,37.23,7
10.653,1350.00,4.69,36.45,6
10.622,1400.00,4.71,35.97,6
10.777,1450.00,4.64,36.47,7
10.549,1500.00,4.74,36.50,6
10.738,1550.00,4.66,37.08,7
10.789,1600.00,4.63,36.66,7
10.810,1650.00,4.63,37.88,6
11.007,1700.00,4.54,37.19,7
11.108,1750.00,4.50,36.25,7
11.097,1800.00,4.51,36.89,7
11.130,1850.00,4.49,36.81,7
11.160,1900.00,4.48,36.81,6
11.316,1950.00,4.42,36.25,7
11.285,2000.00,4.43,40.23,8
