Logan V48.39
rawFileName=C:\MinimaxData\rover23817 2001250823.raw
From=0.0, To=7:27.1
Time,Dist,AvVel,AvStkRate,#Strokes
12.100,50.00,4.13,38.92,7
10.263,100.00,4.87,36.41,6
10.516,150.00,4.75,34.25,6
10.678,200.00,4.68,33.19,6
10.721,250.00,4.66,33.33,6
10.685,300.00,4.68,33.78,6
10.787,350.00,4.64,34.17,6
10.819,400.00,4.62,34.13,6
10.857,450.00,4.61,33.86,6
10.779,500.00,4.64,34.21,6
10.858,550.00,4.60,34.06,7
10.985,600.00,4.55,33.94,6
10.845,650.00,4.61,34.13,6
10.961,700.00,4.56,33.86,6
10.872,750.00,4.60,34.13,6
10.906,800.00,4.58,33.33,6
11.119,850.00,4.50,33.77,7
11.212,900.00,4.46,33.82,6
11.116,950.00,4.50,33.30,6
11.043,1000.00,4.53,33.67,6
11.211,1050.00,4.46,33.87,7
11.167,1100.00,4.48,33.78,6
11.074,1150.00,4.52,33.04,6
11.246,1200.00,4.45,33.08,6
11.282,1250.00,4.43,32.43,6
11.305,1300.00,4.42,31.98,6
11.290,1350.00,4.43,32.40,6
11.392,1400.00,4.39,32.09,6
11.542,1450.00,4.33,30.80,6
11.699,1500.00,4.27,30.49,6
11.720,1550.00,4.27,30.15,6
11.710,1600.00,4.27,29.50,6
11.664,1650.00,4.29,29.64,6
11.707,1700.00,4.27,29.88,6
11.679,1750.00,4.28,28.20,5
11.697,1800.00,4.27,29.41,6
11.406,1850.00,4.38,29.67,5
11.316,1900.00,4.42,33.09,7
11.422,1950.00,4.38,28.30,5
11.469,1999.97,4.36,29.01,6
