Logan V48.39
rawFileName=C:\MinimaxData\rover23823 2001251021.raw
From=0.0, To=7:32.7
Time,Dist,AvVel,AvStkRate,#Strokes
12.363,50.00,4.04,42.94,8
10.217,100.00,4.89,38.79,7
10.674,150.00,4.68,37.59,6
11.038,200.00,4.53,36.07,7
10.918,250.00,4.58,35.46,6
11.270,300.00,4.44,35.43,7
11.310,350.00,4.42,34.78,7
11.498,400.00,4.35,34.76,6
11.501,450.00,4.35,34.75,7
11.418,500.00,4.38,34.32,6
11.560,550.00,4.33,33.99,7
11.383,600.00,4.39,34.05,6
11.657,650.00,4.29,33.55,7
11.375,700.00,4.40,33.86,6
11.642,750.00,4.29,33.58,7
11.473,800.00,4.36,33.30,6
11.532,850.00,4.34,33.40,7
11.486,900.00,4.35,33.71,6
11.217,950.00,4.46,33.52,6
11.546,1000.00,4.33,33.71,7
11.353,1050.00,4.40,33.59,6
11.437,1100.00,4.37,33.74,7
11.588,1150.00,4.31,33.44,6
11.459,1200.00,4.36,33.63,6
11.651,1250.00,4.29,33.55,7
11.479,1300.00,4.36,33.37,6
11.684,1350.00,4.28,33.06,7
11.503,1400.00,4.35,33.37,6
11.459,1450.00,4.36,33.49,7
11.596,1500.00,4.31,33.26,6
11.295,1550.00,4.43,33.59,6
11.497,1600.00,4.35,34.19,7
11.193,1650.00,4.47,34.64,6
11.412,1700.00,4.38,34.92,7
11.094,1750.00,4.51,34.84,6
11.003,1800.00,4.54,35.79,7
10.744,1850.00,4.65,36.89,7
10.741,1900.00,4.66,37.69,6
10.641,1950.00,4.70,38.30,7
10.832,2000.00,4.62,37.54,7
