Logan V48.39
rawFileName=C:\MinimaxData\rover23841 2001250715.raw
From=0.0, To=9:48.6
Time,Dist,AvVel,AvStkRate,#Strokes
14.244,50.00,3.51,43.69,10
13.312,100.00,3.76,38.71,8
13.833,150.00,3.61,35.03,8
14.147,200.00,3.53,34.20,8
14.184,250.00,3.53,33.76,8
14.386,300.00,3.48,34.45,8
14.508,350.00,3.45,33.44,8
14.565,400.00,3.43,33.38,9
14.452,450.00,3.46,33.39,8
14.450,500.00,3.46,32.92,8
14.683,550.00,3.41,32.35,7
14.899,600.00,3.36,33.76,9
14.619,650.00,3.42,33.60,8
14.797,700.00,3.38,33.28,8
14.858,750.00,3.37,33.73,8
14.719,800.00,3.40,32.99,9
14.861,850.00,3.36,32.16,8
14.613,900.00,3.42,32.61,8
14.940,950.00,3.35,32.58,8
14.980,1000.00,3.34,32.51,8
14.907,1050.00,3.35,32.16,8
14.860,1100.00,3.36,31.61,7
15.010,1150.00,3.33,31.34,8
14.935,1200.00,3.35,32.63,8
15.162,1250.00,3.30,31.56,8
15.291,1300.00,3.27,32.06,9
15.188,1350.00,3.29,31.23,8
15.131,1400.00,3.30,31.69,7
15.010,1450.00,3.33,31.58,8
15.061,1500.00,3.32,32.24,9
15.254,1550.00,3.28,31.72,8
15.273,1600.00,3.27,31.58,8
14.994,1650.00,3.33,31.28,7
14.931,1700.00,3.35,31.79,8
15.125,1750.00,3.31,31.84,8
14.842,1800.00,3.37,31.87,8
14.553,1850.00,3.44,33.10,8
14.385,1900.00,3.48,33.07,8
14.310,1950.00,3.49,33.84,8
14.357,2000.00,3.48,35.11,9
