Logan V48.39
rawFileName=C:\MinimaxData\rover56665 2001251155.raw
From=0.0, To=8:13.9
Time,Dist,AvVel,AvStkRate,#Strokes
13.448,50.00,3.72,38.89,8
10.326,100.00,4.84,39.06,6
10.593,150.00,4.72,38.30,7
10.743,200.00,4.65,37.66,7
10.978,250.00,4.55,36.36,6
11.548,300.00,4.33,34.35,7
12.406,350.00,4.03,29.56,6
12.693,400.00,3.94,28.46,6
13.066,450.00,3.83,26.55,6
13.079,500.00,3.82,25.97,5
13.220,550.00,3.78,26.32,6
13.216,600.00,3.78,26.41,6
12.866,650.00,3.89,27.17,6
12.674,700.00,3.95,27.32,6
12.712,750.00,3.93,27.68,6
12.982,800.00,3.85,28.22,6
12.687,850.00,3.94,28.65,6
12.108,900.00,4.13,29.41,6
12.290,950.00,4.07,28.93,6
12.666,1000.00,3.95,26.61,5
13.017,1050.00,3.84,26.88,6
13.098,1100.00,3.82,26.55,6
12.978,1150.00,3.85,26.32,6
12.952,1200.00,3.86,26.23,5
13.102,1250.00,3.82,26.91,6
12.750,1300.00,3.92,27.00,6
12.351,1350.00,4.05,28.87,6
12.366,1400.00,4.04,29.24,6
12.261,1450.00,4.08,28.52,6
12.762,1500.00,3.92,27.52,6
12.577,1550.00,3.98,28.93,6
12.026,1600.00,4.16,30.49,6
12.731,1650.00,3.93,26.93,6
13.081,1700.00,3.82,26.67,5
12.803,1750.00,3.91,27.75,6
11.660,1800.00,4.29,32.88,7
11.192,1850.00,4.47,34.64,6
11.271,1900.00,4.44,34.45,7
11.286,1950.00,4.43,34.48,6
11.365,1999.96,4.40,35.36,7
