Logan V48.39
rawFileName=C:\MinimaxData\rover23779 2001250715.raw
From=0.0, To=9:00.8
Time,Dist,AvVel,AvStkRate,#Strokes
14.188,50.00,3.52,39.05,7
11.583,100.00,4.32,35.82,7
11.915,150.00,4.20,35.12,7
12.282,200.00,4.07,33.12,7
12.593,250.00,3.97,32.46,7
12.535,300.00,3.99,31.09,6
13.000,350.00,3.85,30.93,7
13.158,400.00,3.80,29.85,7
13.324,450.00,3.75,29.73,6
13.749,500.00,3.64,29.20,7
13.772,550.00,3.63,28.46,6
13.731,600.00,3.64,27.69,7
13.444,650.00,3.72,27.57,6
13.442,700.00,3.72,26.91,6
13.587,750.00,3.68,26.41,6
13.553,800.00,3.69,26.53,6
13.625,850.00,3.67,26.13,6
13.995,900.00,3.57,26.00,6
14.072,950.00,3.55,27.08,6
13.959,1000.00,3.58,26.16,6
14.006,1050.00,3.57,26.04,6
13.759,1100.00,3.63,25.53,6
13.736,1150.00,3.64,25.75,6
13.595,1200.00,3.68,26.71,6
13.592,1250.00,3.68,25.82,6
13.735,1300.00,3.64,25.53,6
13.861,1350.00,3.61,25.88,6
13.878,1400.00,3.60,26.62,6
13.578,1450.00,3.68,25.77,6
13.633,1500.00,3.67,25.68,6
13.496,1550.00,3.70,25.61,5
14.002,1600.00,3.57,25.84,6
14.535,1650.00,3.44,26.51,7
13.738,1700.00,3.64,26.64,6
13.864,1750.00,3.61,26.79,6
14.083,1800.00,3.55,28.06,7
14.226,1850.00,3.51,28.53,7
13.216,1900.00,3.78,26.88,6
13.418,1950.00,3.73,27.35,6
13.363,2000.00,3.74,26.91,6
