Logan V48.39
rawFileName=C:\MinimaxData\rover23841 2001251212.raw
From=0.0, To=7:55.2
Time,Dist,AvVel,AvStkRate,#Strokes
13.056,50.00,3.83,42.00,8
10.546,100.00,4.74,41.10,7
10.721,150.00,4.66,39.87,7
11.015,200.00,4.54,38.34,7
11.240,250.00,4.45,37.93,7
11.437,300.00,4.37,37.27,8
11.439,350.00,4.37,36.10,6
11.748,400.00,4.26,36.18,8
11.991,450.00,4.17,35.61,7
11.796,500.00,4.24,35.64,7
12.018,550.00,4.16,35.19,7
12.175,600.00,4.11,34.55,7
12.048,650.00,4.15,34.78,7
11.937,700.00,4.19,34.99,7
12.035,750.00,4.15,34.88,7
12.049,800.00,4.15,34.32,7
12.297,850.00,4.07,34.32,7
12.192,900.00,4.10,34.45,7
12.149,950.00,4.12,34.65,7
12.093,1000.00,4.13,34.82,7
11.996,1050.00,4.17,34.42,7
12.052,1100.00,4.15,34.48,6
12.141,1150.00,4.12,34.38,7
12.157,1200.00,4.11,34.38,7
12.073,1250.00,4.14,34.65,7
12.143,1300.00,4.12,34.29,7
12.205,1350.00,4.10,34.55,7
12.006,1400.00,4.16,34.48,7
12.069,1450.00,4.14,34.32,7
11.986,1500.00,4.17,34.25,7
12.111,1550.00,4.13,34.29,7
11.962,1600.00,4.18,34.03,7
11.929,1650.00,4.19,34.13,6
12.026,1700.00,4.16,34.55,7
11.964,1750.00,4.18,34.68,7
11.809,1800.00,4.23,34.68,7
11.680,1850.00,4.28,35.12,7
11.777,1900.00,4.25,35.36,7
11.618,1950.00,4.30,35.68,7
11.472,2000.00,4.36,36.44,7
