Logan V48.39
rawFileName=C:\MinimaxData\rover39886 2002070917.raw
From=0.0, To=8:09.0
Time,Dist,AvVel,AvStkRate,#Strokes
12.742,50.00,3.92,41.71,8
10.083,100.00,4.96,40.32,6
11.026,150.00,4.53,34.88,7
11.474,200.00,4.36,32.02,6
11.560,250.00,4.33,32.36,6
11.630,300.00,4.30,32.76,7
11.706,350.00,4.27,33.19,6
11.815,400.00,4.23,32.22,6
12.039,450.00,4.15,32.37,7
11.814,500.00,4.23,32.36,6
12.145,550.00,4.12,31.97,7
11.907,600.00,4.20,31.81,6
11.887,650.00,4.21,31.71,6
12.124,700.00,4.12,31.63,7
12.032,750.00,4.16,31.88,6
12.024,800.00,4.16,31.35,6
12.314,850.00,4.06,31.28,7
12.129,900.00,4.12,30.61,6
12.128,950.00,4.12,31.02,6
12.354,1000.00,4.05,30.95,7
12.277,1050.00,4.07,30.74,6
12.294,1100.00,4.07,30.00,6
12.353,1150.00,4.05,29.79,6
12.402,1200.00,4.03,29.56,6
12.687,1250.00,3.94,29.13,7
12.543,1300.00,3.99,28.85,6
12.395,1350.00,4.03,28.20,5
12.773,1400.00,3.91,27.86,6
12.701,1450.00,3.94,27.17,6
12.571,1500.00,3.98,27.50,6
12.399,1550.00,4.03,26.12,5
12.639,1600.00,3.96,25.19,6
12.877,1650.00,3.88,24.64,5
12.735,1700.00,3.93,24.72,5
12.790,1750.00,3.91,24.46,5
12.776,1800.00,3.91,24.24,5
12.846,1850.00,3.89,24.02,6
12.775,1900.00,3.91,24.05,5
12.662,1950.00,3.95,24.24,5
12.613,2000.00,3.96,24.56,5
