Logan V48.39
rawFileName=C:\MinimaxData\rover56667 2002071144.raw
From=0.0, To=7:06.7
Time,Dist,AvVel,AvStkRate,#Strokes
11.680,50.00,4.28,44.78,8
9.639,100.00,5.19,38.56,6
9.879,150.00,5.06,37.74,6
10.107,200.00,4.95,36.90,6
10.238,250.00,4.88,36.11,7
10.395,300.00,4.81,34.60,6
10.452,350.00,4.78,34.21,6
10.379,400.00,4.82,34.36,6
10.461,450.00,4.78,34.56,6
10.319,500.00,4.85,35.93,6
10.301,550.00,4.85,35.63,6
10.392,600.00,4.81,35.01,6
10.426,650.00,4.80,35.84,6
10.459,700.00,4.78,36.25,7
10.465,750.00,4.78,35.93,6
10.483,800.00,4.77,35.38,6
10.677,850.00,4.68,35.55,6
10.858,900.00,4.60,33.94,6
10.907,950.00,4.58,34.01,6
10.743,1000.00,4.65,33.87,7
10.703,1050.00,4.67,34.88,6
10.668,1100.00,4.69,36.72,6
10.832,1150.00,4.62,34.01,6
10.852,1200.00,4.61,33.22,6
10.814,1250.00,4.62,33.71,6
10.606,1300.00,4.71,34.36,6
10.524,1350.00,4.75,34.84,6
10.649,1400.00,4.70,36.41,6
11.115,1450.00,4.50,34.29,7
11.168,1500.00,4.48,35.13,6
10.932,1550.00,4.57,33.15,6
10.720,1600.00,4.66,33.56,6
10.854,1650.00,4.61,34.56,6
10.743,1700.00,4.65,33.86,6
10.859,1750.00,4.60,34.99,7
11.424,1800.00,4.38,31.95,6
11.361,1850.00,4.40,32.26,6
11.117,1900.00,4.50,33.37,6
10.714,1950.00,4.67,35.05,6
10.818,2000.00,4.62,37.08,7
